pos	val	Chromosome	valScaled
158946.0	7.001281001311968e-09	chr10	1.923080730501907e-06
2920466.326530612	9.82111111714728e-09	chr10	2.6976191268376173e-06
5681986.653061224	1.1804602431554892e-08	chr10	3.242435700424707e-06
8443506.979591835	1.2530203156396091e-08	chr10	3.4417404807525993e-06
11205027.306122448	1.2120373070505906e-08	chr10	3.3291701752888325e-06
13966547.632653061	1.0976262435801281e-08	chr10	3.0149109540476806e-06
16728067.959183672	9.543116422096746e-09	chr10	2.6212607802531483e-06
19489588.285714284	8.252835721350432e-09	chr10	2.266852215294998e-06
22251108.612244897	7.423674888065961e-09	chr10	2.039102004915288e-06
25012628.93877551	7.073759376142679e-09	chr10	1.94298876818657e-06
27774149.265306123	6.886860136594097e-09	chr10	1.89165211621474e-06
30535669.591836732	6.446734106713932e-09	chr10	1.770760255582915e-06
33297189.918367345	5.552985657567894e-09	chr10	1.525269406101708e-06
36058710.244897954	4.3554229271389786e-09	chr10	1.1963282009103242e-06
38820230.57142857	3.2273119404209097e-09	chr10	8.864636918271323e-07
41581750.89795918	2.5131447927942317e-09	chr10	6.902994356430121e-07
44343271.22448979	2.3546073183410653e-09	chr10	6.467530671818418e-07
47104791.551020406	2.6835378806342495e-09	chr10	7.371022512669606e-07
49866311.87755102	3.300675408225021e-09	chr10	9.066148429136901e-07
52627832.20408163	3.953958922170895e-09	chr10	1.0860558533499893e-06
55389352.530612245	4.440139051753729e-09	chr10	1.2195976492839712e-06
58150872.85714285	4.715198486952475e-09	chr10	1.2951497517455527e-06
60912393.183673464	4.904198571766433e-09	chr10	1.3470634545523449e-06
63673913.51020408	5.1885360710877905e-09	chr10	1.4251640144072537e-06
66435433.83673469	5.663302295046273e-09	chr10	1.5555706895023715e-06
69196954.1632653	6.254535598431041e-09	chr10	1.7179680240411757e-06
71958474.48979591	6.7732755480701296e-09	chr10	1.8604532065535654e-06
74719994.81632653	7.07936945095039e-09	chr10	1.9445297185865557e-06
77481515.14285713	7.155423930492627e-09	chr10	1.9654200248103192e-06
80243035.46938775	7.021230737093861e-09	chr10	1.928560435209313e-06
83004555.79591836	6.693442907275599e-09	chr10	1.838525131798635e-06
85766076.12244898	6.2622214871526745e-09	chr10	1.7200791497758215e-06
88527596.44897959	5.8888947419235965e-09	chr10	1.6175354195932306e-06
91289116.77551019	5.673224339776016e-09	chr10	1.5582960326250616e-06
94050637.10204081	5.5731702054517904e-09	chr10	1.5308136079530748e-06
96812157.42857142	5.465468979437475e-09	chr10	1.5012307141425353e-06
99573677.75510204	5.267668545441401e-09	chr10	1.4468997705578564e-06
102335198.08163264	5.032368262872454e-09	chr10	1.3822685353303028e-06
105096718.40816326	4.94915015804795e-09	chr10	1.3594105563708948e-06
107858238.73469387	5.2321218082186474e-09	chr10	1.4371359508550788e-06
110619759.06122449	5.974265223585803e-09	chr10	1.6409846038507245e-06
113381279.3877551	7.0872382542271914e-09	chr10	1.946691086477787e-06
116142799.7142857	8.366749558179324e-09	chr10	2.298141561416391e-06
118904320.04081632	9.62540085704048e-09	chr10	2.6438623029217684e-06
121665840.36734693	1.0766072113106947e-08	chr10	2.9571768109336266e-06
124427360.69387755	1.1688043183149733e-08	chr10	3.210419724415782e-06
127188881.02040815	1.2103992097700252e-08	chr10	3.3246707225253273e-06
129950401.34693877	1.1554249241087358e-08	chr10	3.1736697993963712e-06
132711921.67346938	9.774128681963821e-09	chr10	2.6847142004739367e-06
135473442.0	7.084313093771294e-09	chr10	1.945887616412051e-06
241489.0	6.122026703178178e-09	chr11	1.681571069964754e-06
2990535.551020408	8.222056258245846e-09	chr11	2.258397849246766e-06
5739582.102040816	9.639561880736181e-09	chr11	2.6477519899359423e-06
8488628.653061224	1.0238746713627412e-08	chr11	2.8123334152388556e-06
11237675.204081632	1.027405009969527e-08	chr11	2.822030392328597e-06
13986721.75510204	1.0103002939369938e-08	chr11	2.7750479189830657e-06
16735768.306122448	9.888364057941817e-09	chr11	2.7160918655389096e-06
19484814.85714286	9.526676793974576e-09	chr11	2.6167452163081446e-06
22233861.408163264	8.872529240310218e-09	chr11	2.4370668752843872e-06
24982907.95918367	8.0293183031722e-09	chr11	2.2054574448594815e-06
27731954.51020408	7.336529964677536e-09	chr11	2.01516542489544e-06
30481001.06122449	7.028050216716241e-09	chr11	1.930433579545527e-06
33230047.612244897	6.9768052100353016e-09	chr11	1.916357828998721e-06
