Start	End	Chromosome
60683.0	41529159.2244898	chr10
41529159.2244898	60881114.795918375	chr10
60881114.795918375	105114156.10204083	chr10
105114156.10204083	135524372.0	chr10
87267.0	55131831.48979592	chr11
55131831.48979592	90910798.40816326	chr11
90910798.40816326	134946450.0	chr11
60316.0	38283601.14285714	chr12
38283601.14285714	84697590.24489796	chr12
84697590.24489796	133841814.0	chr12
19020094.0	58240402.97959184	chr13
58240402.97959184	85694619.26530613	chr13
85694619.26530613	115109851.0	chr13
19000058.0	44225594.28571428	chr14
44225594.28571428	65847482.530612245	chr14
65847482.530612245	82063898.71428572	chr14
82063898.71428572	107289435.0	chr14
20000446.0	46945874.57142857	chr15
46945874.57142857	75575392.42857143	chr15
75575392.42857143	102520821.0	chr15
60179.0	40572778.510204084	chr16
40572778.510204084	68195005.44897959	chr16
68195005.44897959	90292787.0	chr16
51.0	24854215.285714284	chr17
24854215.285714284	43080602.428571425	chr17
43080602.428571425	59650045.28571428	chr17
59650045.28571428	81190321.0	chr17
10718.0	19114314.897959184	chr18
19114314.897959184	33442012.57142857	chr18
33442012.57142857	50953643.06122449	chr18
50953643.06122449	78017072.0	chr18
64704.0	25373594.57142857	chr19
25373594.57142857	39835817.75510204	chr19
39835817.75510204	59118782.0	chr19
11007.0	45787859.63265306	chr1
45787859.63265306	132255247.93877551	chr1
132255247.93877551	188204734.48979592	chr1
188204734.48979592	249240538.0	chr1
61097.0	29586527.44897959	chr20
29586527.44897959	62963101.0	chr20
9411244.0	12571112.48979592	chr21
12571112.48979592	25210586.448979594	chr21
25210586.448979594	31530323.42857143	chr21
31530323.42857143	48119633.0	chr21
16050606.0	24669454.163265307	chr22
24669454.163265307	31133590.285714284	chr22
31133590.285714284	41188913.14285714	chr22
41188913.14285714	51244236.0	chr22
10180.0	29786810.163265303	chr2
29786810.163265303	99265613.87755102	chr2
99265613.87755102	148893330.81632653	chr2
148893330.81632653	193558276.0612245	chr2
193558276.0612245	243185993.0	chr2
60196.0	44487216.89795919	chr3
44487216.89795919	92953057.87755102	chr3
92953057.87755102	161612999.26530612	chr3
161612999.26530612	197962380.0	chr3
10455.0	93577846.83673468	chr4
93577846.83673468	191043880.0	chr4
10042.0	47994728.81632653	chr5
47994728.81632653	92288285.87755102	chr5
92288285.87755102	136581842.9387755	chr5
136581842.9387755	180875400.0	chr5
63978.0	24491039.0	chr6
24491039.0	62876420.57142857	chr6
62876420.57142857	118709702.85714285	chr6
118709702.85714285	171053405.0	chr6
16863.0	61713237.632653065	chr7
61713237.632653065	87690658.53061225	chr7
87690658.53061225	120162434.65306123	chr7
120162434.65306123	159128566.0	chr7
11739.0	47780571.0	chr8
47780571.0	86592747.0	chr8
86592747.0	113462715.0	chr8
113462715.0	146303787.0	chr8
10468.0	57617085.95918368	chr9
57617085.95918368	100822049.42857143	chr9
100822049.42857143	141146682.0	chr9
