Start	End	Chromosome
71214463.14285713	188209652.59183672	chr1
0.0	66384365.87755102	chr10
66384365.87755102	116172640.28571428	chr10
30307585.224489797	135006516.0	chr11
0.0	79218468.46938775	chr12
79218468.46938775	133851895.0	chr12
0.0	84614604.24489796	chr13
0.0	39434524.89795918	chr14
39434524.89795918	85441470.61224489	chr14
0.0	56496889.469387755	chr15
56496889.469387755	102531392.0	chr15
0.0	81134880.24489796	chr16
9942270.612244898	51368398.1632653	chr17
51368398.1632653	74567029.59183674	chr17
0.0	41428743.8367347	chr18
7240283.632653061	28961134.530612245	chr19
28961134.530612245	59128983.0	chr19
0.0	119118060.24489796	chr2
119118060.24489796	223346362.95918366	chr2
0.0	41159523.26530612	chr20
0.0	22591583.36734694	chr21
22591583.36734694	41254195.71428572	chr21
0.0	35599086.6122449	chr22
35599086.6122449	47116438.16326531	chr22
0.0	56577837.14285715	chr3
56577837.14285715	96990577.95918368	chr3
96990577.95918368	169733511.42857143	chr3
0.0	31208861.387755103	chr4
31208861.387755103	97527691.8367347	chr4
97527691.8367347	171648737.63265306	chr4
0.0	44305777.95918367	chr5
44305777.95918367	118148741.2244898	chr5
118148741.2244898	158762371.02040815	chr5
0.0	94287894.06122449	chr6
94287894.06122449	143177913.20408162	chr6
0.0	19486366.897959184	chr7
19486366.897959184	87688651.04081632	chr7
87688651.04081632	159138663.0	chr7
0.0	35844250.28571428	chr8
35844250.28571428	113506792.57142858	chr8
17291440.530612245	57638135.10204081	chr9
57638135.10204081	80693389.14285713	chr9
80693389.14285713	118158176.95918366	chr9
22181508.57142857	82388460.40816326	chrX
82388460.40816326	126751477.5510204	chrX
126751477.5510204	155270560.0	chrX
0.0	18175581.42857143	chrY
18175581.42857143	43621395.42857143	chrY
