pos	val	Chromosome	valScaled	Type
60881114.795918375	4.606331624529851e-09	chr10	1.2175419096914793e-08	Minima
105114156.10204083	5.017702789873254e-09	chr10	1.3262752087828874e-08	Minima
135524372.0	6.7180873553791835e-09	chr10	1.77571950412437e-08	Minima
60683.0	6.672132421998877e-09	chr10	1.7635727327000886e-08	Minima
41529159.2244898	4.017216919757351e-09	chr10	1.0618275796904885e-08	Minima
52587419.55102041	5.529607579457481e-09	chr10	1.4615814754380176e-08	Maxima
80233070.36734694	6.516823135352397e-09	chr10	1.7225215056348473e-08	Maxima
127230676.75510205	1.0706226212626627e-08	chr10	2.8298611934699454e-08	Maxima
8354378.24489796	1.2378901821036417e-08	chr10	3.271981479320071e-08	Maxima
104671939.53061225	5.9698152175665084e-09	chr11	1.577936808065365e-08	Minima
88158570.18367347	5.8135782319555285e-09	chr11	1.5366403723480066e-08	Minima
87267.0	7.156564450554663e-09	chr11	1.8916174210205326e-08	Minima
134946450.0	6.5875791249800735e-09	chr11	1.7412236725119846e-08	Minima
52379603.26530612	2.4991460918778987e-09	chr11	6.605723064095676e-09	Minima
99167483.08163266	6.092832528856673e-09	chr11	1.6104526458994735e-08	Maxima
77149657.28571428	6.4496436080631246e-09	chr11	1.7047646664371703e-08	Maxima
8343951.673469388	1.1159646954349828e-08	chr11	2.9497090031307924e-08	Maxima
126689765.32653062	1.0644434270968787e-08	chr11	2.8135283966194126e-08	Maxima
106539467.46938775	7.036696222083043e-09	chr12	1.859933946251265e-08	Minima
57395243.71428572	5.126222447400297e-09	chr12	1.354959038310256e-08	Minima
84697590.24489796	4.086780287185032e-09	chr12	1.0802145136167041e-08	Minima
60316.0	7.317128110776526e-09	chr12	1.9340574799282614e-08	Minima
133841814.0	8.237761964987327e-09	chr12	2.1773986877156733e-08	Minima
38283601.14285714	3.3011735703817927e-09	chr12	8.725635713464121e-09	Minima
98348763.51020409	7.275837919477325e-09	chr12	1.9231436894190754e-08	Maxima
51934774.408163264	5.37077247671491e-09	chr12	1.4195983074677846e-08	Maxima
68316182.32653062	5.928395091302374e-09	chr12	1.566988673249639e-08	Maxima
8251019.959183674	1.1203761131705468e-08	chr12	2.961369227387342e-08	Maxima
128381344.69387756	1.2239842829431876e-08	chr12	3.235225517309793e-08	Maxima
85694619.26530613	5.364441302963311e-09	chr13	1.4179248566595405e-08	Minima
19020094.0	8.886472092473633e-09	chr13	2.3488652324277022e-08	Minima
115109851.0	9.14041726350232e-09	chr13	2.4159878179672864e-08	Minima
58240402.97959184	4.726841185011385e-09	chr13	1.249394900827293e-08	Minima
73928526.57142857	9.884726351210064e-09	chr13	2.6127230037759948e-08	Maxima
26864155.795918368	1.6322415369791148e-08	chr13	4.3143278426336584e-08	Maxima
109226804.65306123	1.702114495316288e-08	chr13	4.499015490124341e-08	Maxima
82063898.71428572	8.031273241831091e-09	chr14	2.1228197527161642e-08	Minima
65847482.530612245	7.171211743336891e-09	chr14	1.8954889817937333e-08	Minima
19000058.0	1.1831659396550983e-08	chr14	3.127334797126365e-08	Minima
107289435.0	7.741343753648031e-09	chr14	2.046185821099418e-08	Minima
