track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3341233	921738.0000	455037.0000	1467219.0000	303525.1782	3.6249	1.8580	1.0000e-02	1.0000e-02	46	8344198	3.1156e-01	6985	118088047	4.4092e+00	44	3341233	1.2476e-01	95.6522	40.0426	0.6299	2.8294
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3341233	947132.8600	443855.0000	1521099.0000	309448.2265	3.5277	1.8187	1.0000e-02	1.0000e-02	19	8162649	3.0478e-01	6985	118088047	4.4092e+00	44	3341233	1.2476e-01	231.5789	40.9332	0.6299	2.8294
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1480005	359290.7400	169005.0000	651707.0000	148561.1897	4.1192	2.0424	1.0000e-02	1.0000e-02	18	2511540	9.3777e-02	6985	118088047	4.4092e+00	32	1480005	5.5261e-02	177.7778	58.9282	0.4581	1.2533
HFNHinvs	genomicSuperDups_coords_normal.bed	0	16900.1600	0.0000	42026.0000	12702.4658	0.0001	-14.0448	6.0000e-02	6.0000e-02	27	181549	6.7788e-03	6985	118088047	4.4092e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1480005	374765.2500	185435.0000	697979.0000	153514.1534	3.9491	1.9815	1.0000e-02	1.0000e-02	45	2693089	1.0056e-01	6985	118088047	4.4092e+00	32	1480005	5.5261e-02	71.1111	54.9557	0.4581	1.2533
invs	genomicSuperDups_coords_normal.bed	4604281	1284131.2700	806190.0000	1823412.0000	332602.5144	3.5855	1.8422	1.0000e-02	1.0000e-02	114	11812711	4.4107e-01	6985	118088047	4.4092e+00	98	4604281	1.7192e-01	85.9649	38.9773	1.4030	3.8990
LFinvs	genomicSuperDups_coords_normal.bed	1264165	307500.5800	150352.0000	609649.0000	139927.2067	4.1111	2.0395	1.0000e-02	1.0000e-02	70	3497573	1.3059e-01	6985	118088047	4.4092e+00	56	1264165	4.7202e-02	80.0000	36.1441	0.8017	1.0705
LFNAHRinvs	genomicSuperDups_coords_normal.bed	1064341	182850.0900	38094.0000	563288.0000	130256.3698	5.8208	2.5412	1.0000e-02	1.0000e-02	20	2334528	8.7168e-02	6985	118088047	4.4092e+00	41	1064341	3.9741e-02	205.0000	45.5913	0.5870	0.9013
LFNHinvs	genomicSuperDups_coords_normal.bed	199824	171677.3300	10034.0000	393356.0000	137892.2607	1.1640	0.2190	4.3000e-01	4.3000e-01	50	1163045	4.3426e-02	6985	118088047	4.4092e+00	15	199824	7.4611e-03	30.0000	17.1811	0.2147	0.1692
NAHRinvs	genomicSuperDups_coords_normal.bed	4404457	1058625.4300	651558.0000	1520705.0000	276149.9337	4.1605	2.0568	1.0000e-02	1.0000e-02	38	10479500	3.9129e-01	6985	118088047	4.4092e+00	83	4404457	1.6446e-01	218.4211	42.0293	1.1883	3.7298
NAHRno501invs	genomicSuperDups_coords_normal.bed	2543229	526192.6800	250922.0000	829978.0000	179125.3152	4.8333	2.2730	1.0000e-02	1.0000e-02	37	4828391	1.8029e-01	6985	118088047	4.4092e+00	71	2543229	9.4961e-02	191.8919	52.6724	1.0165	2.1537
NHinvs	genomicSuperDups_coords_normal.bed	199824	161021.7300	11773.0000	407085.0000	148264.1953	1.2410	0.3115	3.4000e-01	3.4000e-01	76	1333211	4.9780e-02	6985	118088047	4.4092e+00	15	199824	7.4611e-03	19.7368	14.9882	0.2147	0.1692
no501invs	genomicSuperDups_coords_normal.bed	2743053	696264.9500	319177.0000	1167727.0000	246077.0431	3.9397	1.9781	1.0000e-02	1.0000e-02	113	6161602	2.3007e-01	6985	118088047	4.4092e+00	86	2743053	1.0242e-01	76.1062	44.5185	1.2312	2.3229
