track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	210826	21393.5900	227.0000	103426.0000	30101.7281	9.8542	3.3007	1.0000e-02	1.0000e-02	34	544278	2.4830e-02	4724	51737535	2.3603e+00	19	210826	9.6181e-03	55.8824	38.7350	0.4022	0.4075
HFNAHRinvs	genomicSuperDups_coords_normal.bed	210826	25961.4800	0.0000	109744.0000	35296.7974	8.1204	3.0216	1.0000e-02	1.0000e-02	12	494279	2.2549e-02	4724	51737535	2.3603e+00	19	210826	9.6181e-03	158.3333	42.6532	0.4022	0.4075
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	210826	27348.5600	0.0000	107301.0000	39069.3611	7.7086	2.9465	1.0000e-02	1.0000e-02	12	494279	2.2549e-02	4724	51737535	2.3603e+00	19	210826	9.6181e-03	158.3333	42.6532	0.4022	0.4075
HFNHinvs	genomicSuperDups_coords_normal.bed	0	1111.7700	0.0000	3379.0000	1953.6847	0.0009	-10.1199	3.9000e-01	3.9000e-01	22	49999	2.2810e-03	4724	51737535	2.3603e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	210826	24709.5200	1090.0000	104918.0000	33804.5055	8.5319	3.0929	1.0000e-02	1.0000e-02	34	544278	2.4830e-02	4724	51737535	2.3603e+00	19	210826	9.6181e-03	55.8824	38.7350	0.4022	0.4075
invs	genomicSuperDups_coords_normal.bed	692967	105154.9300	39489.0000	216698.0000	54740.9549	6.5899	2.7203	1.0000e-02	1.0000e-02	89	2418380	1.1033e-01	4724	51737535	2.3603e+00	49	692967	3.1614e-02	55.0562	28.6542	1.0373	1.3394
LFinvs	genomicSuperDups_coords_normal.bed	483258	73451.8100	20780.0000	138288.0000	39187.7503	6.5792	2.7179	1.0000e-02	1.0000e-02	56	1891779	8.6305e-02	4724	51737535	2.3603e+00	32	483258	2.2047e-02	57.1429	25.5452	0.6774	0.9341
LFNAHRinvs	genomicSuperDups_coords_normal.bed	480974	63302.4700	5134.0000	143120.0000	43242.3520	7.5979	2.9256	1.0000e-02	1.0000e-02	16	1587204	7.2410e-02	4724	51737535	2.3603e+00	30	480974	2.1942e-02	187.5000	30.3032	0.6351	0.9296
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	6521.8100	0.0000	17064.0000	5329.6235	0.3503	-1.5133	2.3000e-01	2.3000e-01	40	304575	1.3895e-02	4724	51737535	2.3603e+00	2	2284	1.0420e-04	5.0000	0.7499	0.0423	0.0044
NAHRinvs	genomicSuperDups_coords_normal.bed	690683	100103.4600	16795.0000	230907.0000	60508.0833	6.8996	2.7865	1.0000e-02	1.0000e-02	27	2063806	9.4153e-02	4724	51737535	2.3603e+00	47	690683	3.1510e-02	174.0741	33.4665	0.9949	1.3350
NAHRno501invs	genomicSuperDups_coords_normal.bed	690683	89020.3300	11940.0000	183723.0000	51098.1426	7.7586	2.9558	1.0000e-02	1.0000e-02	27	2063806	9.4153e-02	4724	51737535	2.3603e+00	47	690683	3.1510e-02	174.0741	33.4665	0.9949	1.3350
NHinvs	genomicSuperDups_coords_normal.bed	2284	7296.4100	828.0000	23828.0000	6559.2614	0.3131	-1.6752	2.3000e-01	2.3000e-01	62	354574	1.6176e-02	4724	51737535	2.3603e+00	2	2284	1.0420e-04	3.2258	0.6442	0.0423	0.0044
no501invs	genomicSuperDups_coords_normal.bed	692967	95820.7400	28612.0000	202973.0000	51234.7111	7.2318	2.8544	1.0000e-02	1.0000e-02	89	2418380	1.1033e-01	4724	51737535	2.3603e+00	49	692967	3.1614e-02	55.0562	28.6542	1.0373	1.3394
