pos	val	Chromosome	valScaled
158946.0	3.2936544564943342e-09	chr10	1.1201706618516053e-06
2920466.326530612	5.6596966709527976e-09	chr10	1.924860743445577e-06
5681986.653061224	8.11992738999923e-09	chr10	2.761584300595882e-06
8443506.979591835	1.0007378158044393e-08	chr10	3.403505608365317e-06
11205027.306122448	1.088401393257296e-08	chr10	3.70164911088733e-06
13966547.632653061	1.067685187260862e-08	chr10	3.631193370952853e-06
16728067.959183672	9.721609420206837e-09	chr10	3.306315766374209e-06
19489588.285714284	8.70790167107184e-09	chr10	2.9615541360114208e-06
22251108.612244897	8.2874161809833e-09	chr10	2.8185471764310854e-06
25012628.93877551	8.569025625656643e-09	chr10	2.914322444356172e-06
27774149.265306123	9.03544952400009e-09	chr10	3.072953039584699e-06
30535669.591836732	8.967890614875126e-09	chr10	3.0499762795911706e-06
33297189.918367345	7.991684866286865e-09	chr10	2.7179690657368793e-06
36058710.244897954	6.336537874544742e-09	chr10	2.155054186325134e-06
38820230.57142857	4.659510305682233e-09	chr10	1.5846977307315545e-06
41581750.89795918	3.5867144682066565e-09	chr10	1.2198402633894179e-06
44343271.22448979	3.353112028035916e-09	chr10	1.1403921599308885e-06
47104791.551020406	3.811311834442091e-09	chr10	1.2962257445348373e-06
49866311.87755102	4.627752990147269e-09	chr10	1.573897079469766e-06
52627832.20408163	5.391404496282272e-09	chr10	1.833614674120452e-06
55389352.530612245	5.751531549135465e-09	chr10	1.9560937515324158e-06
58150872.85714285	5.6573011332545075e-09	chr10	1.9240460219608467e-06
60912393.183673464	5.403963943857421e-09	chr10	1.8378861375931929e-06
63673913.51020408	5.3861955767524286e-09	chr10	1.8318431225158898e-06
66435433.83673469	5.8025218462477405e-09	chr10	1.9734355327115693e-06
69196954.1632653	6.4900608860207826e-09	chr10	2.2072673057176304e-06
71958474.48979591	7.05097047653836e-09	chr10	2.3980324498905705e-06
74719994.81632653	7.268779910262835e-09	chr10	2.4721093577008566e-06
77481515.14285713	7.27966058889978e-09	chr10	2.475809872478935e-06
80243035.46938775	7.2300189365467845e-09	chr10	2.458926764883353e-06
83004555.79591836	7.065035289579663e-09	chr10	2.4028158876012962e-06
85766076.12244898	6.785771842289688e-09	chr10	2.307838492518167e-06
88527596.44897959	6.581765058032206e-09	chr10	2.2384558606839963e-06
91289116.77551019	6.581750900717674e-09	chr10	2.238451045786563e-06
94050637.10204081	6.6855381483267645e-09	chr10	2.2737490502924074e-06
96812157.42857142	6.678518525057325e-09	chr10	2.2713616790160513e-06
99573677.75510204	6.412626268797072e-09	chr10	2.1809318210541808e-06
102335198.08163264	5.9422109987692866e-09	chr10	2.0209437617928e-06
105096718.40816326	5.5646529970545785e-09	chr10	1.8925364251232797e-06
107858238.73469387	5.66736718858799e-09	chr10	1.927469483654865e-06
110619759.06122449	6.464016757323536e-09	chr10	2.1984097071852103e-06
113381279.3877551	7.840047746178355e-09	chr10	2.666397337300614e-06
116142799.7142857	9.407340916725128e-09	chr10	3.1994331646337355e-06
118904320.04081632	1.0709885457906646e-08	chr10	3.642428081088781e-06
121665840.36734693	1.142703644962396e-08	chr10	3.886330867993319e-06
124427360.69387755	1.1412236737092584e-08	chr10	3.881297491237965e-06
127188881.02040815	1.0583474802701681e-08	chr10	3.599435864031271e-06
129950401.34693877	8.903274781730769e-09	chr10	3.0280004586495754e-06
132711921.67346938	6.5643866179332534e-09	chr10	2.232545459637157e-06
135473442.0	4.0960750180444684e-09	chr10	1.3930735979026617e-06
241489.0	4.041569662612839e-09	chr11	1.374536346689828e-06
2990535.551020408	5.930451918484565e-09	chr11	2.0169445029393616e-06
5739582.102040816	7.485453293761661e-09	chr11	2.5457998952497896e-06
8488628.653061224	8.475503396612396e-09	chr11	2.8825155688657067e-06
11237675.204081632	8.986525325763596e-09	chr11	3.056313937868648e-06
13986721.75510204	9.287300439156416e-09	chr11	3.158607442633059e-06
16735768.306122448	9.547869844385094e-09	chr11	3.2472270009287883e-06
19484814.85714286	9.596630619031592e-09	chr11	3.2638105223423553e-06
22233861.408163264	9.118381044630439e-09	chr11	3.1011580190626414e-06
24982907.95918367	8.19283578338788e-09	chr11	2.7863804182079365e-06
27731954.51020408	7.417385626873583e-09	chr11	2.52265010692929e-06
30481001.06122449	7.316560245557859e-09	chr11	2.4883594320537946e-06
33230047.612244897	7.749087129881339e-09	chr11	2.6354616653575688e-06
35979094.1632653	8.093909446988194e-09	chr11	2.752735607805652e-06
38728140.71428572	7.920476632751416e-09	chr11	2.693751171861762e-06
41477187.26530612	7.203856967447459e-09	chr11	2.450029088873792e-06
44226233.81632653	6.032817028090358e-09	chr11	2.05175883883654e-06
46975280.367346935	4.560875933258292e-09	chr11	1.5511522171693808e-06
49724326.91836734	3.2286832426272874e-09	chr11	1.0980739760577301e-06
52473373.469387755	2.6315773867275485e-09	chr11	8.949984954225834e-07
55222420.02040816	3.0403290228387633e-09	chr11	1.0340147756072907e-06
57971466.57142857	4.164691766412331e-09	chr11	1.4164101286312507e-06
60720513.12244898	5.4167047068329345e-09	chr11	1.8422192663665024e-06
63469559.67346939	6.381004221333275e-09	chr11	2.1701771744133406e-06
66218606.22448979	7.014499151316978e-09	chr11	2.3856285656788294e-06
68967652.7755102	7.436384535263059e-09	chr11	2.52911162864209e-06
71716699.3265306	7.665978517611706e-09	chr11	2.6071964570786372e-06
74465745.87755102	7.597507196092691e-09	chr11	2.5839093859675268e-06
77214792.42857143	7.119431003128774e-09	chr11	2.4213158496504584e-06
79963838.97959183	6.262063790501467e-09	chr11	2.1297255779008183e-06
82712885.53061225	5.2998013886251034e-09	chr11	1.8024604911035697e-06
85461932.08163264	4.657094330686489e-09	chr11	1.5838760585295228e-06
88210978.63265306	4.642759427238332e-09	chr11	1.5790007631713714e-06
90960025.18367347	5.238591634437433e-09	chr11	1.7816430763547393e-06
93709071.73469387	6.086745495035977e-09	chr11	2.0700998904887568e-06
96458118.28571428	6.707509076985259e-09	chr11	2.2812213549989174e-06
99207164.83673468	6.846827524403157e-09	chr11	2.328603507411575e-06
101956211.3877551	6.669306416455089e-09	chr11	2.2682286442893302e-06
104705257.93877551	6.616698086924933e-09	chr11	2.2503365708836017e-06
107454304.48979591	7.07848011380207e-09	chr11	2.40738846734414e-06
