Start	End	chromID	winID	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	BhererRegsNum	SpenceRegsNum	BhererRegsMean	SpenceRegsMean	BhererRegsWeightMean	SpenceRegsWeightMean
158946	548335	chr10p	chr10p0	chr10	389390	0.0	0.0	0.0	8.0	8.0	16.0	115.0	0.13181307781250007	0.5866591913043478	0.0854724384488128	0.11789643886685992
548336	937725	chr10p	chr10p1	chr10	389390	0.0	0.0	0.0	0.0	0.0	73.0	180.0	2.778133385616347	0.6727560011111111	1.1156804614608429	0.17640063266289097
937726	1327115	chr10p	chr10p2	chr10	389390	0.0	0.0	0.0	2.0	0.0	81.0	121.0	1.1268626407407414	0.39710209008264463	0.6853455543419004	0.16110123354957298
1327116	1716505	chr10p	chr10p3	chr10	389390	0.0	0.0	0.0	4.0	4.0	210.0	255.0	3.2966758566666376	0.9520119803921568	2.668611369498116	0.49364453761788507
1716506	2105895	chr10p	chr10p4	chr10	389390	0.0	0.0	0.0	4.0	4.0	195.0	276.0	4.626416310256421	0.6787322362318841	3.148910196052123	0.3513699033555943
2105896	2495285	chr10p	chr10p5	chr10	389390	0.0	0.0	0.0	0.0	0.0	139.0	201.0	1.7148355586331205	0.4730987461691542	1.3149501782025566	0.2045816730171173
2495286	2884675	chr10p	chr10p6	chr10	389390	0.0	0.0	0.0	4.0	4.0	171.0	237.0	4.083574227192965	1.3136956151898735	3.2259656430694204	0.43148562203050744
2884676	3274065	chr10p	chr10p7	chr10	389390	0.0	0.0	0.0	0.0	0.0	196.0	320.0	4.5378052964284805	1.4563520504375	4.398299270777277	0.6094539193833619
3274066	3663455	chr10p	chr10p8	chr10	389390	0.0	0.0	0.0	4.0	4.0	134.0	166.0	5.031465818656453	0.6512107909638554	2.19270309079315	0.2672487500929366
3663456	4052845	chr10p	chr10p9	chr10	389390	0.0	0.0	0.0	0.0	0.0	214.0	169.0	11.189003502336666	1.2051905550295858	5.234674423221886	0.48667952473073156
4052846	4442235	chr10p	chr10p10	chr10	389390	0.0	0.0	0.0	0.0	0.0	130.0	150.0	2.933206423078093	0.8357142093333333	2.427117396965936	0.30113790341013574
4442236	4831625	chr10p	chr10p11	chr10	389390	0.0	0.0	0.0	0.0	0.0	159.0	191.0	3.0281519091193583	0.7105263890052356	2.447882886131047	0.332313733298306
4831626	5221015	chr10p	chr10p12	chr10	389390	1.0	0.0	1.0	4.0	4.0	97.0	291.0	3.5677031494846827	0.48932337120274916	1.1686152766840352	0.23348198067780623
5221016	5610405	chr10p	chr10p13	chr10	389390	0.0	0.0	0.0	8.0	4.0	187.0	186.0	3.79838646042846	0.9602670951612904	2.632817949849071	0.4248569221810453
5610406	5999795	chr10p	chr10p14	chr10	389390	0.0	0.0	0.0	10.0	2.0	177.0	206.0	1.4036938240111405	0.774151004368932	1.370280539279697	0.2895502718921694
5999796	6389185	chr10p	chr10p15	chr10	389390	0.0	0.0	0.0	0.0	0.0	284.0	209.0	7.471769929929917	1.2596687234449762	5.059238794349654	0.7185449822889012
6389186	6778575	chr10p	chr10p16	chr10	389390	0.0	0.0	0.0	0.0	0.0	269.0	274.0	3.803911312452786	0.9048258423357665	2.855430938109645	0.3199436999383058
6778576	7167965	chr10p	chr10p17	chr10	389390	0.0	0.0	0.0	0.0	0.0	276.0	301.0	2.937531555253741	0.8207221372093023	2.1427001479953804	0.38332345354472563
7167966	7557355	chr10p	chr10p18	chr10	389390	0.0	0.0	0.0	0.0	0.0	180.0	163.0	2.932564677777648	0.7874909601226994	2.585657117852091	0.28295025145233366
7557356	7946745	chr10p	chr10p19	chr10	389390	0.0	0.0	0.0	0.0	0.0	215.0	185.0	7.050382117673031	1.3366971183783782	3.2916482389284667	0.4654223442510652
7946746	8336135	chr10p	chr10p20	chr10	389390	0.0	0.0	0.0	2.0	2.0	208.0	172.0	1.9482494452883172	0.6443709912790697	2.038037201272197	0.27044643131287216
8336136	8725525	chr10p	chr10p21	chr10	389390	0.0	0.0	0.0	10.0	0.0	265.0	216.0	5.232779367547204	0.7724846115740741	3.738624531637242	0.4015111836167077
8725526	9114915	chr10p	chr10p22	chr10	389390	0.0	0.0	0.0	0.0	0.0	167.0	137.0	3.5271234940119616	0.2822945635036496	1.6457750059960592	0.18498260463938807
9114916	9504305	chr10p	chr10p23	chr10	389390	0.0	0.0	0.0	0.0	0.0	129.0	109.0	1.4175387080233715	0.21051767403669724	0.6075054799903998	0.10986625689480596
9504306	9893695	chr10p	chr10p24	chr10	389390	0.0	0.0	0.0	0.0	0.0	83.0	73.0	0.9230582761446013	0.14018561328767123	0.5076870297305849	0.1106061837541247
9893696	10283085	chr10p	chr10p25	chr10	389390	0.0	0.0	0.0	0.0	0.0	176.0	220.0	6.158193908891414	0.9643066574545455	2.778380303156236	0.31514492445206616
10283086	10672475	chr10p	chr10p26	chr10	389390	0.0	0.0	0.0	0.0	0.0	189.0	182.0	3.1217049582005654	0.4230661802197802	1.7692485158666618	0.24605322570206353
10672476	11061865	chr10p	chr10p27	chr10	389390	0.0	0.0	0.0	0.0	0.0	157.0	130.0	2.1668203117823257	0.4635170515384615	1.1697615539034294	0.21423459230863437
11061866	11451255	chr10p	chr10p28	chr10	389390	0.0	0.0	0.0	0.0	0.0	245.0	203.0	4.831272109796413	1.0241553602955664	2.8588669204488455	0.44982671389152706
11451256	11840645	chr10p	chr10p29	chr10	389390	0.0	0.0	0.0	0.0	0.0	130.0	109.0	2.0348846972694887	0.3737428642201835	1.32029327311544	0.1847638138736042
11840646	12230035	chr10p	chr10p30	chr10	389390	0.0	0.0	0.0	0.0	0.0	121.0	138.0	2.50064115070186	0.7180352028985507	1.5164121603121232	0.2047761051760544
12230036	12619425	chr10p	chr10p31	chr10	389390	0.0	0.0	0.0	0.0	0.0	233.0	206.0	5.08030268199933	0.9468195169902913	3.2064368390689193	0.49189689418870725
12619426	13008815	chr10p	chr10p32	chr10	389390	0.0	0.0	0.0	0.0	0.0	236.0	194.0	2.963763662500756	1.1166014360824743	2.300583343764789	0.39670803100193036
13008816	13398205	chr10p	chr10p33	chr10	389390	1.0	1.0	0.0	10.0	0.0	237.0	192.0	3.7921127065397933	0.6560359640625	2.836489178256304	0.38190990895209304
13398206	13787595	chr10p	chr10p34	chr10	389390	0.0	0.0	0.0	6.0	0.0	183.0	201.0	3.9444916978143056	0.6485942398009951	1.9495542471499268	0.25237470945894935
13787596	14176985	chr10p	chr10p35	chr10	389390	0.0	0.0	0.0	0.0	0.0	297.0	345.0	4.14600438080801	1.0961930753623188	4.148318097512261	0.4985679709937436
14176986	14566375	chr10p	chr10p36	chr10	389390	0.0	0.0	0.0	4.0	4.0	250.0	191.0	3.9419940148005477	0.7086676418848168	2.065864146270132	0.3228642572373484
14566376	14955765	chr10p	chr10p37	chr10	389390	0.0	0.0	0.0	6.0	0.0	214.0	196.0	4.791657857008744	0.6692318061224489	2.029498552936603	0.30291664365554277
14955766	15345155	chr10p	chr10p38	chr10	389390	0.0	0.0	0.0	186.0	12.0	156.0	313.0	3.118470696475529	0.31338997444089456	1.9567462959495008	0.24773020323709866
15345156	15734545	chr10p	chr10p39	chr10	389390	0.0	0.0	0.0	0.0	0.0	163.0	227.0	1.9198428126675846	0.48685051819383257	1.047525009477843	0.20080583668142368
15734546	16123935	chr10p	chr10p40	chr10	389390	1.0	1.0	0.0	0.0	0.0	104.0	128.0	3.3847354129818	0.655474321875	1.6745370700884277	0.23575043419266808
16123936	16513325	chr10p	chr10p41	chr10	389390	0.0	0.0	0.0	0.0	0.0	148.0	157.0	2.7437331104742317	0.3748754840764331	1.379739491979379	0.16563432631735148
16513326	16902715	chr10p	chr10p42	chr10	389390	0.0	0.0	0.0	10.0	10.0	213.0	176.0	3.911317150470151	1.0944373568181818	2.832055394669488	0.3718694466115825
16902716	17292105	chr10p	chr10p43	chr10	389390	0.0	0.0	0.0	4.0	4.0	203.0	183.0	2.211553418471662	0.5728031663934426	1.5998359626358054	0.2477050490594811
17292106	17681495	chr10p	chr10p44	chr10	389390	0.0	0.0	0.0	4.0	2.0	183.0	148.0	2.2310177139358927	0.41402292094594595	1.2770482095109572	0.24240735235935035
17681496	18070885	chr10p	chr10p45	chr10	389390	0.0	0.0	0.0	2.0	2.0	32.0	67.0	0.9592609718752513	0.30948150597014923	0.15607883849085183	0.2225606256217314
18070886	18460275	chr10p	chr10p46	chr10	389390	0.0	0.0	0.0	2.0	2.0	139.0	109.0	2.361002539570652	0.5658312844036697	0.8660641651769274	0.28259380290843605
18460276	18849665	chr10p	chr10p47	chr10	389390	0.0	0.0	0.0	0.0	0.0	196.0	149.0	2.0631368662241023	0.46356023355704695	1.3749285764440957	0.24770700241434035
18849666	19239055	chr10p	chr10p48	chr10	389390	0.0	0.0	0.0	8.0	8.0	102.0	127.0	1.4144012636283756	0.2781243679527559	0.5920725700731537	0.10969383817488931
19239056	19628445	chr10p	chr10p49	chr10	389390	0.0	0.0	0.0	6.0	0.0	163.0	150.0	2.789159909204489	0.6791485325333333	1.3721521627987172	0.21515053768585995
19628446	20017835	chr10p	chr10p50	chr10	389390	0.0	0.0	0.0	12.0	0.0	118.0	163.0	1.7648382546625976	0.714405745398773	0.8003152562198109	0.1839601614960328
20017836	20407225	chr10p	chr10p51	chr10	389390	0.0	0.0	0.0	2.0	0.0	166.0	125.0	2.2154699614457893	0.5651640424	1.0060698565611137	0.2681284408253374
20407226	20796615	chr10p	chr10p52	chr10	389390	0.0	0.0	0.0	0.0	0.0	168.0	160.0	1.6774538154764231	0.587392391875	1.2038328876919628	0.22416209264762854
20796616	21186005	chr10p	chr10p53	chr10	389390	0.0	0.0	0.0	0.0	0.0	130.0	124.0	0.6663085796152818	0.29554199596774194	0.5155238025795066	0.1325251776596728
21186006	21575395	chr10p	chr10p54	chr10	389390	0.0	0.0	0.0	8.0	0.0	151.0	122.0	3.242821272184165	0.4625749336065574	1.7750735113378617	0.274186879372216
21575396	21964785	chr10p	chr10p55	chr10	389390	0.0	0.0	0.0	10.0	0.0	55.0	39.0	0.8079358741810109	0.18555663076923076	0.2921270307549943	0.07228210578798017
21964786	22354175	chr10p	chr10p56	chr10	389390	0.0	0.0	0.0	0.0	0.0	32.0	32.0	0.17627795843734495	0.065128215625	0.1244353362836394	0.04416529381931607
22354176	22743565	chr10p	chr10p57	chr10	389390	0.0	0.0	0.0	0.0	0.0	42.0	42.0	0.5643030623807492	0.02807390476190476	0.290511513112651	0.020799175378385992
22743566	23132955	chr10p	chr10p58	chr10	389390	0.0	0.0	0.0	0.0	0.0	95.0	84.0	0.7890358982112303	0.15837549285714286	0.5148132427170954	0.09523387232061846
23132956	23522345	chr10p	chr10p59	chr10	389390	0.0	0.0	0.0	14.0	2.0	101.0	87.0	1.1877829995042717	0.17848510229885056	0.7704597078574134	0.09759786232013676
23522346	23911735	chr10p	chr10p60	chr10	389390	0.0	0.0	0.0	0.0	0.0	79.0	130.0	0.9903045989241394	0.23059758461538463	0.759401459805914	0.0989124951014969
23911736	24301125	chr10p	chr10p61	chr10	389390	0.0	0.0	0.0	0.0	0.0	90.0	132.0	1.15054102277887	0.17676663484848484	0.5120734972640931	0.07499285607846373
24301126	24690515	chr10p	chr10p62	chr10	389390	0.0	0.0	0.0	0.0	0.0	195.0	154.0	3.523291165641762	0.49764059974025976	2.183024088509209	0.2657555655900122
24690516	25079905	chr10p	chr10p63	chr10	389390	0.0	0.0	0.0	6.0	0.0	162.0	156.0	4.085465933981259	0.6272719827564103	1.8249487159487228	0.2563536067013185
25079906	25469295	chr10p	chr10p64	chr10	389390	0.0	0.0	0.0	0.0	0.0	118.0	121.0	1.5183963613980853	0.43994111074380166	0.857687063284696	0.132617676294265
25469296	25858685	chr10p	chr10p65	chr10	389390	0.0	0.0	0.0	0.0	0.0	107.0	220.0	1.2694089934572377	0.27147215690909093	0.7842670751446458	0.1598341308279371
25858686	26248075	chr10p	chr10p66	chr10	389390	0.0	0.0	0.0	0.0	0.0	150.0	199.0	4.745885588267954	0.8559311218592964	1.6551156042697046	0.23055167895739226
26248076	26637465	chr10p	chr10p67	chr10	389390	0.0	0.0	0.0	2.0	2.0	64.0	102.0	1.6881457817236514	0.21143816774509805	0.6438462857780561	0.07181728027259572
26637466	27026855	chr10p	chr10p68	chr10	389390	0.0	0.0	0.0	38.0	38.0	165.0	174.0	1.8738850363639106	0.45842180218390804	1.760925594893627	0.24183777371944537
27026856	27416245	chr10p	chr10p69	chr10	389390	0.0	0.0	0.0	36.0	32.0	75.0	150.0	0.8287162909990407	0.22557932126666666	0.3776732220446184	0.09663264702339498
27416246	27805635	chr10p	chr10p70	chr10	389390	0.0	0.0	0.0	104.0	42.0	97.0	256.0	0.6997392390726033	0.23106694249999998	0.4559632608703284	0.09815513978276527
27805636	28195025	chr10p	chr10p71	chr10	389390	0.0	0.0	0.0	2.0	0.0	110.0	141.0	1.3413364763650804	0.175364350070922	0.5912216843555856	0.085338616629341
28195026	28584415	chr10p	chr10p72	chr10	389390	0.0	0.0	0.0	6.0	2.0	110.0	105.0	1.2926825206834591	0.16501254057142858	0.4957621701702111	0.0780983100001763
28584416	28973805	chr10p	chr10p73	chr10	389390	0.0	0.0	0.0	16.0	0.0	134.0	162.0	1.6638669570888909	0.3909940548765432	1.3547839373273514	0.16588201974203912
28973806	29363195	chr10p	chr10p74	chr10	389390	0.0	0.0	0.0	0.0	0.0	267.0	206.0	3.2869984411038504	1.283787022815534	3.099296571828815	0.46001486461650504
29363196	29752585	chr10p	chr10p75	chr10	389390	0.0	0.0	0.0	6.0	6.0	210.0	278.0	2.8489468099057564	0.9449712377697842	1.9226402660540878	0.30226752494831155
29752586	30141975	chr10p	chr10p76	chr10	389390	0.0	0.0	0.0	10.0	6.0	219.0	294.0	4.613213947100947	0.712839768707483	1.848308376289997	0.26736302403066886
30141976	30531365	chr10p	chr10p77	chr10	389390	0.0	0.0	0.0	2.0	0.0	215.0	202.0	5.651003130929572	1.4796966871287127	2.611205790513987	0.35397098643265085
30531366	30920755	chr10p	chr10p78	chr10	389390	0.0	0.0	0.0	58.0	6.0	184.0	252.0	4.6642713855990685	1.0411755703968255	3.4948976893012285	0.422349374735322
30920756	31310145	chr10p	chr10p79	chr10	389390	0.0	0.0	0.0	6.0	6.0	122.0	174.0	1.9939540490572891	0.19432199425287355	0.648646778609992	0.11237566852943977
