track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	284807	40284.0300	1090.0000	136890.0000	46454.1010	7.0698	2.8217	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
HFNAHRinvs	genomicSuperDups_coords_normal.bed	284807	37157.7800	0.0000	142960.0000	47035.8870	7.6646	2.9382	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	284807	45940.5000	1019.0000	152139.0000	52207.8514	6.1994	2.6321	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNHinvs	genomicSuperDups_coords_normal.bed	0	1183.1700	0.0000	3357.0000	1626.5160	0.0008	-10.2097	2.8000e-01	2.8000e-01	22	49999	2.1356e-03	4780	57896180	2.4729e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	284807	56151.2600	2387.0000	150793.0000	57787.0405	5.0721	2.3426	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
invs	genomicSuperDups_coords_normal.bed	766948	125473.5300	36210.0000	252680.0000	70040.9942	6.1124	2.6117	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
LFinvs	genomicSuperDups_coords_normal.bed	483258	76536.4400	14844.0000	136532.0000	41585.2228	6.3140	2.6586	1.0000e-02	1.0000e-02	56	1891779	8.0804e-02	4780	57896180	2.4729e+00	32	483258	2.0641e-02	57.1429	25.5452	0.6695	0.8347
LFNAHRinvs	genomicSuperDups_coords_normal.bed	480974	70963.1000	6547.0000	163668.0000	46332.6075	6.7777	2.7608	1.0000e-02	1.0000e-02	16	1587204	6.7794e-02	4780	57896180	2.4729e+00	30	480974	2.0544e-02	187.5000	30.3032	0.6276	0.8308
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	7642.8300	0.0000	19702.0000	6346.7390	0.2989	-1.7421	2.0000e-01	2.0000e-01	40	304575	1.3009e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	5.0000	0.7499	0.0418	0.0039
NAHRinvs	genomicSuperDups_coords_normal.bed	764664	109758.7400	28566.0000	250495.0000	70467.2331	6.9667	2.8005	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NAHRno501invs	genomicSuperDups_coords_normal.bed	764664	122340.7300	32285.0000	247346.0000	65560.7683	6.2502	2.6439	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NHinvs	genomicSuperDups_coords_normal.bed	2284	8575.0600	1345.0000	20510.0000	6367.4054	0.2664	-1.9081	1.0000e-01	1.0000e-01	62	354574	1.5145e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	3.2258	0.6442	0.0418	0.0039
no501invs	genomicSuperDups_coords_normal.bed	766948	131288.1200	44293.0000	296018.0000	73621.3641	5.8417	2.5464	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
