Start	End	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946.0	44343271.22448979	chr10	44184325.22448979	4.0	2.0	2.0	1800.0	398.0	1.3668945643518191e-06	0.000468466
44343271.22448979	105096718.40816326	chr10	60753447.18367347	4.0	4.0	0.0	1898.0	1168.0	8.943365617176041e-07	0.000264553
105096718.40816326	135473442.0	chr10	30376723.591836736	1.0	1.0	0.0	200.0	40.0	1.676394986633397e-06	0.000640854
241489.0	52473373.46938776	chr11	52231884.46938776	2.0	1.0	1.0	1342.0	444.0	1.1614011717327436e-06	0.000371061
52473373.46938776	88210978.63265306	chr11	35737605.163265295	3.0	2.0	1.0	1540.0	320.0	8.22552473125178e-07	0.000196833
88210978.63265306	134944770.0	chr11	46733791.36734694	0.0	0.0	0.0	808.0	302.0	1.3410662715407248e-06	0.000331321
191619.0	38349486.14285714	chr12	38157867.14285714	0.0	0.0	0.0	1106.0	238.0	1.3776182707965895e-06	0.000358918
38349486.14285714	84684039.10204081	chr12	46334552.95918367	7.0	6.0	1.0	678.0	80.0	8.454850209293289e-07	0.000432374
84684039.10204081	133744154.0	chr12	49060114.89795919	0.0	0.0	0.0	456.0	110.0	1.4451101695586336e-06	0.000321199
19260565.0	60323842.0	chr13	41063277.0	0.0	0.0	0.0	1408.0	352.0	1.3828402452689375e-06	0.000432204
60323842.0	85743965.85714287	chr13	25420123.857142866	2.0	0.0	2.0	452.0	58.0	8.157107855945617e-07	0.000353981
85743965.85714287	115074878.0	chr13	29330912.142857134	1.0	1.0	0.0	1974.0	1786.0	1.622152988671414e-06	0.0002955
19035752.0	44249947.71428572	chr14	25214195.714285716	2.0	1.0	1.0	804.0	96.0	1.5259695137471808e-06	0.000504921
44249947.71428572	64061101.48979592	chr14	19811153.775510207	2.0	1.0	1.0	398.0	10.0	9.049918802117631e-07	0.000257734
64061101.48979592	107285437.0	chr14	43224335.51020408	2.0	1.0	1.0	748.0	194.0	1.3770051647356998e-06	0.000481211
20161372.0	47014354.530612245	chr15	26852982.530612245	0.0	0.0	0.0	3422.0	2054.0	1.3894437259096197e-06	0.000480182
47014354.530612245	75545648.46938775	chr15	28531293.93877551	0.0	0.0	0.0	692.0	218.0	1.0896966442964692e-06	0.000330873
75545648.46938775	102398631.0	chr15	26852982.530612245	0.0	0.0	0.0	2676.0	1988.0	1.8649046086233217e-06	0.000535593
143503.0	38714011.0	chr16	38570508.0	3.0	1.0	2.0	5116.0	2670.0	1.1987337615871315e-06	0.0004556
38714011.0	68101064.71428572	chr16	29387053.714285716	1.0	1.0	0.0	512.0	78.0	1.239739616685951e-06	0.000221624
68101064.71428572	90141355.0	chr16	22040290.285714284	2.0	1.0	1.0	432.0	298.0	1.938581211816818e-06	0.000285591
6888.0	24816304.2244898	chr17	24809416.2244898	3.0	2.0	1.0	1154.0	650.0	1.8751382123301425e-06	0.000368015
24816304.2244898	43009876.12244898	chr17	18193571.89795918	1.0	0.0	1.0	1458.0	836.0	1.0406583262095687e-06	0.000179929
43009876.12244898	81050981.0	chr17	38041104.87755102	2.0	0.0	2.0	1134.0	804.0	1.559441386894891e-06	0.000270806
112535.0	17600749.63265306	chr18	17488214.63265306	1.0	1.0	0.0	854.0	80.0	2.246118613362633e-06	0.00037012
17600749.63265306	78014582.0	chr18	60413832.36734694	0.0	0.0	0.0	458.0	76.0	1.261281591604798e-06	0.00061574
261033.0	25459768.714285716	chr19	25198735.714285716	1.0	1.0	0.0	804.0	358.0	1.670959461282614e-06	0.000223715
25459768.714285716	39859046.26530612	chr19	14399277.551020406	0.0	0.0	0.0	584.0	102.0	1.2064307884790508e-06	0.000197217
39859046.26530612	59058083.0	chr19	19199036.734693877	0.0	0.0	0.0	964.0	644.0	2.2381767919167063e-06	0.000236827
752721.0	132566348.3469388	chr1	131813627.3469388	4.0	4.0	0.0	2826.0	1424.0	9.751282987766413e-07	0.000426479
132566348.3469388	188333652.2244898	chr1	55767303.877551004	4.0	2.0	2.0	3960.0	2354.0	9.780244323111793e-07	0.00080052
