Start	End	Chromosome	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683.0	23750218.622449	chr10	telomeric	23689535.622449	3.0	2.0	1.0	428.0	84.0	1.4480534052898484e-08	1.73695539334e-06
23750218.622449	39146059.0	chr10	centromeric	15395840.377551	1.0	0.0	1.0	880.0	240.0	7.907886564106286e-09	2.03246956168e-06
47478463.7755102	116172416.428571	chr10	arm	68693952.6530608	4.0	4.0	0.0	1542.0	898.0	7.285413920682093e-09	1.46166529389e-06
116172416.428571	135524372.0	chr10	telomeric	19351955.571429	1.0	1.0	0.0	266.0	46.0	1.404343394260864e-08	2.19240487572e-06
42369508.0	47478463.7755102	chr10	centromeric	5108955.775510199	0.0	0.0	0.0	954.0	352.0	6.81025555450784e-09	6.74195650569e-07
87267.0	29960848.8367347	chr11	telomeric	29873581.8367347	2.0	1.0	1.0	920.0	122.0	1.1957306107929925e-08	2.40834527739e-06
29960848.8367347	51577746.0	chr11	centromeric	21616897.1632653	0.0	0.0	0.0	596.0	324.0	6.098422489428148e-09	1.36376747468e-06
65926430.6428571	115680852.428571	chr11	arm	49754421.7857139	2.0	1.0	1.0	1856.0	420.0	6.970788837955465e-09	1.96071947213e-06
115680852.428571	134946450.0	chr11	telomeric	19265597.571429	0.0	0.0	0.0	194.0	42.0	1.3492186864742511e-08	2.13895966194e-06
54703204.0	65926430.6428571	chr11	centromeric	11223226.642857097	1.0	1.0	0.0	298.0	160.0	3.877941100215831e-09	6.41073672203e-07
60316.0	21246021.9795918	chr12	telomeric	21185705.9795918	0.0	0.0	0.0	846.0	174.0	1.3119066042360273e-08	2.26036726507e-06
21246021.9795918	34241024.0	chr12	centromeric	12995002.020408198	0.0	0.0	0.0	160.0	54.0	8.159673808180418e-09	1.03029625554e-06
44923155.7040816	117460406.081633	chr12	arm	72537250.3775514	6.0	5.0	1.0	852.0	86.0	6.9634904966591805e-09	2.14151877425e-06
117460406.081633	133841814.0	chr12	telomeric	16381407.918366998	0.0	0.0	0.0	120.0	76.0	1.554115597689228e-08	1.81358025604e-06
37911537.0	44923155.7040816	chr12	centromeric	7011618.704081602	1.0	1.0	0.0	206.0	28.0	3.861936390746111e-09	7.89447658797e-07
19020094.0	42552279.3877551	chr13	arm	23532185.387755103	0.0	0.0	0.0	1152.0	250.0	1.263389315823204e-08	1.84409700969e-06
42552279.3877551	97460711.9591837	chr13	arm	54908432.57142859	2.0	0.0	2.0	1000.0	160.0	6.280958677542241e-09	1.89263955272e-06
97460711.9591837	115109851.0	chr13	telomeric	17649139.040816307	1.0	1.0	0.0	1842.0	1786.0	1.4558904541466391e-08	1.65779765071e-06
19000058.0	33414650.1632653	chr14	arm	14414592.163265299	1.0	1.0	0.0	762.0	92.0	1.4253856125034545e-08	1.82671014403e-06
33414650.1632653	89271194.7959184	chr14	arm	55856544.6326531	4.0	2.0	2.0	716.0	38.0	7.1894550813814236e-09	1.52866421852e-06
89271194.7959184	107289435.0	chr14	telomeric	18018240.204081595	1.0	0.0	1.0	472.0	170.0	1.4052287599089482e-08	1.65261405816e-06
20000446.0	35999294.2142857	chr15	arm	15998848.214285702	0.0	0.0	0.0	3504.0	2010.0	1.8867733831401968e-08	1.34801871035e-06
35999294.2142857	85679928.1428571	chr15	arm	49680633.9285714	0.0	0.0	0.0	2836.0	1794.0	7.852398781645282e-09	1.53594000404e-06
85679928.1428571	102520821.0	chr15	telomeric	16840892.857142895	0.0	0.0	0.0	728.0	460.0	1.797553734591702e-08	3.48511833934e-06
