Start	End	Chromosome	ChrRegion
60683	23750218.622449	chr10	telomeric
23750218.622449	39146059	chr10	centromeric
116172416.428571	135524372	chr10	telomeric
42369508	47478463.7755102	chr10	centromeric
87267	29960848.8367347	chr11	telomeric
29960848.8367347	51577746	chr11	centromeric
107424167.755102	134946450	chr11	telomeric
54703204	65926430.6428571	chr11	centromeric
60316	21246021.9795918	chr12	telomeric
21246021.9795918	34241024	chr12	centromeric
106539467.469388	133841814	chr12	telomeric
37911537	44923155.7040816	chr12	centromeric
97460711.9591837	115109851	chr13	telomeric
89271194.7959184	107289435	chr14	telomeric
85679928.1428571	102520821	chr15	telomeric
60179	21349386.0918367	chr16	telomeric
21349386.0918367	35272666	chr16	centromeric
75560932.6326531	90292787	chr16	telomeric
46400586	50852609.4387755	chr16	centromeric
51	16095178.8571429	chr17	telomeric
16095178.8571429	22248641	chr17	centromeric
67106294.5714286	81190321	chr17	telomeric
25269196	29204066.3571429	chr17	centromeric
10718	10887374.3163265	chr18	telomeric
10887374.3163265	15396165	chr18	centromeric
66873307.1428571	78017072	chr18	telomeric
18528460	21209337.0612245	chr18	centromeric
64704	14144459.8979592	chr19	telomeric
14144459.8979592	24608660	chr19	centromeric
47066929.3469388	59118782	chr19	telomeric
27748235	30779063.2142857	chr19	centromeric
11007	27985750.2755102	chr1	telomeric
114147590.571429	121471518	chr1	centromeric
213636319.285714	249240538	chr1	telomeric
142542466	152657807.846939	chr1	centromeric
61097	15743416.2346939	chr20	telomeric
15743416.2346939	26290878	chr20	centromeric
43630213.7653061	62963101	chr20	telomeric
29432184	43630213.7653061	chr20	centromeric
37060093.2857143	48119633	chr21	telomeric
44780099.877551	51244236	chr22	telomeric
10180	19861266.7755102	chr2	telomeric
66013925.2755102	92315497	chr2	centromeric
213409362.836735	243185993	chr2	telomeric
95328622	112185433.020408	chr2	centromeric
60196	26312526.5306122	chr3	telomeric
77582482.1530612	90483647	chr3	centromeric
173729459.510204	197962380	chr3	telomeric
93654937	119556327.969388	chr3	centromeric
10455	28726067.3265306	chr4	telomeric
28726067.3265306	49644397	chr4	centromeric
154006787.397959	191043880	chr4	telomeric
52677180	80924796.0714286	chr4	centromeric
10042	26892370.255102	chr5	telomeric
26892370.255102	46392439	chr5	centromeric
153191926.836735	180875400	chr5	telomeric
49415504	63469635.4285714	chr5	centromeric
63978	15767088.6428571	chr6	telomeric
46862825.7142857	58765872	chr6	centromeric
139647183.714286	171053405	chr6	telomeric
61883737	83317559.6428571	chr6	centromeric
16863	33901326.9183673	chr7	telomeric
33901326.9183673	58044258	chr7	centromeric
136398322.714286	159128566	chr7	telomeric
61059303	69504214.3469388	chr7	centromeric
11739	26396769	chr8	telomeric
26396769	43825143	chr8	centromeric
123912147	146303787	chr8	telomeric
46853067	59259027	chr8	centromeric
10468	20172784.2857143	chr9	telomeric
43776076.7857143	47217053	chr9	centromeric
129625358.408163	141146682	chr9	telomeric
65485592	73072662.5714286	chr9	centromeric
47478463.7755102	81825440.1020408	chr10	arm
65926430.6428571	86675299.1989796	chr11	arm
44923155.7040816	75731311.5867347	chr12	arm
19020094	58240402.9795918	chr13	arm
19000058	54135626.3979592	chr14	arm
20000446	52840187.0714286	chr15	arm
50852609.4387755	63206771.0357143	chr16	arm
29204066.3571429	48155180.4642857	chr17	arm
21209337.0612245	44041322.1020408	chr18	arm
30779063.2142857	38922996.2806122	chr19	arm
27985750.2755102	71066670.4234694	chr1	arm
152657807.846939	183147063.566327	chr1	arm
12571112.4897959	24815602.8877551	chr21	arm
16050606	30415352.9387755	chr22	arm
19861266.7755102	42937596.0255102	chr2	arm
112185433.020408	162797397.928571	chr2	arm
26312526.5306122	51947504.3418367	chr3	arm
119556327.969388	146642893.739796	chr3	arm
80924796.0714286	117465791.734694	chr4	arm
63469635.4285714	108330781.132653	chr5	arm
15767088.6428571	31314957.1785714	chr6	arm
83317559.6428571	111482371.678571	chr6	arm
69504214.3469388	102951268.530612	chr7	arm
59259027	91585587	chr8	arm
20172784.2857143	31974430.5357143	chr9	arm
73072662.5714286	101349010.489796	chr9	arm
81825440.1020408	116172416.428571	chr10	arm
86675299.1989796	107424167.755102	chr11	arm
75731311.5867347	106539467.469388	chr12	arm
58240402.9795918	97460711.9591837	chr13	arm
54135626.3979592	89271194.7959184	chr14	arm
52840187.0714286	85679928.1428571	chr15	arm
63206771.0357143	75560932.6326531	chr16	arm
48155180.4642857	67106294.5714286	chr17	arm
44041322.1020408	66873307.1428571	chr18	arm
38922996.2806122	47066929.3469388	chr19	arm
71066670.4234694	114147590.571429	chr1	arm
183147063.566327	213636319.285714	chr1	arm
24815602.8877551	37060093.2857143	chr21	arm
30415352.9387755	44780099.877551	chr22	arm
42937596.0255102	66013925.2755102	chr2	arm
162797397.928571	213409362.836735	chr2	arm
51947504.3418367	77582482.1530612	chr3	arm
146642893.739796	173729459.510204	chr3	arm
117465791.734694	154006787.397959	chr4	arm
108330781.132653	153191926.836735	chr5	arm
31314957.1785714	46862825.7142857	chr6	arm
111482371.678571	139647183.714286	chr6	arm
102951268.530612	136398322.714286	chr7	arm
91585587	123912147	chr8	arm
31974430.5357143	43776076.7857143	chr9	arm
101349010.489796	129625358.408163	chr9	arm
