track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3411345	935407.1500	491695.0000	1444307.0000	288456.6016	3.6469	1.8667	1.0000e-02	1.0000e-02	23	8491768	1.3385e+00	2899	76416423	1.2045e+01	42	3411345	5.3770e-01	182.6087	40.1724	1.4488	4.4642
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3411345	948117.6200	533520.0000	1509926.0000	291988.1034	3.5980	1.8472	1.0000e-02	1.0000e-02	16	8354682	1.3169e+00	2899	76416423	1.2045e+01	42	3411345	5.3770e-01	262.5000	40.8315	1.4488	4.4642
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1550117	401649.3500	196865.0000	701744.0000	152837.0173	3.8594	1.9484	1.0000e-02	1.0000e-02	15	2703573	4.2614e-01	2899	76416423	1.2045e+01	30	1550117	2.4433e-01	200.0000	57.3359	1.0348	2.0285
HFNHinvs	genomicSuperDups_coords_normal.bed	0	13479.0400	0.0000	43661.0000	13227.9442	0.0001	-13.7185	1.3000e-01	1.3000e-01	7	137086	2.1608e-02	2899	76416423	1.2045e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1550117	425990.2200	208142.0000	713884.0000	157728.1091	3.6388	1.8635	1.0000e-02	1.0000e-02	22	2840659	4.4775e-01	2899	76416423	1.2045e+01	30	1550117	2.4433e-01	136.3636	54.5689	1.0348	2.0285
invs	genomicSuperDups_coords_normal.bed	4305963	1205101.1900	717649.0000	1846891.0000	338461.3308	3.5731	1.8372	1.0000e-02	1.0000e-02	41	10337374	1.6294e+00	2899	76416423	1.2045e+01	76	4305963	6.7871e-01	185.3659	41.6543	2.6216	5.6349
LFinvs	genomicSuperDups_coords_normal.bed	894618	209231.7200	74956.0000	371998.0000	90048.3843	4.2757	2.0962	1.0000e-02	1.0000e-02	19	1856989	2.9270e-01	2899	76416423	1.2045e+01	34	894618	1.4101e-01	178.9474	48.1757	1.1728	1.1707
LFNAHRinvs	genomicSuperDups_coords_normal.bed	697078	129430.0500	6156.0000	461544.0000	121707.7750	5.3857	2.4291	1.0000e-02	1.0000e-02	9	998519	1.5739e-01	2899	76416423	1.2045e+01	21	697078	1.0987e-01	233.3333	69.8112	0.7244	0.9122
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	137359.0500	3553.0000	373563.0000	143700.9720	1.4381	0.5242	3.0000e-01	3.0000e-01	10	858470	1.3531e-01	2899	76416423	1.2045e+01	13	197540	3.1136e-02	130.0000	23.0107	0.4484	0.2585
NAHRinvs	genomicSuperDups_coords_normal.bed	4108423	1089512.6000	643942.0000	1654767.0000	295479.3673	3.7709	1.9149	1.0000e-02	1.0000e-02	25	9353201	1.4743e+00	2899	76416423	1.2045e+01	63	4108423	6.4757e-01	252.0000	43.9253	2.1732	5.3764
NAHRno501invs	genomicSuperDups_coords_normal.bed	2247195	519389.0100	250442.0000	876003.0000	193366.9220	4.3266	2.1132	1.0000e-02	1.0000e-02	24	3702092	5.8353e-01	2899	76416423	1.2045e+01	51	2247195	3.5421e-01	212.5000	60.7007	1.7592	2.9407
NHinvs	genomicSuperDups_coords_normal.bed	197540	143009.5600	3807.0000	409209.0000	138525.0976	1.3813	0.4660	2.8000e-01	2.8000e-01	16	984173	1.5513e-01	2899	76416423	1.2045e+01	13	197540	3.1136e-02	81.2500	20.0717	0.4484	0.2585
no501invs	genomicSuperDups_coords_normal.bed	2444735	656307.7100	324269.0000	1129722.0000	240287.4268	3.7250	1.8972	1.0000e-02	1.0000e-02	40	4686265	7.3865e-01	2899	76416423	1.2045e+01	64	2444735	3.8534e-01	160.0000	52.1681	2.2077	3.1992
