Start	End	chromID	Chromosome	winID
60683	7877759	chr10p	chr10	chr10p0
7877759	15694835	chr10p	chr10	chr10p1
15694835	23511911	chr10p	chr10	chr10p2
23511911	31328987	chr10p	chr10	chr10p3
31328987	39146063	chr10p	chr10	chr10p4
42369508	61000481	chr10q	chr10	chr10q0
61000481	79631454	chr10q	chr10	chr10q1
79631454	98262427	chr10q	chr10	chr10q2
98262427	116893400	chr10q	chr10	chr10q3
116893400	135524373	chr10q	chr10	chr10q4
87267	10385363	chr11p	chr11	chr11p0
10385363	20683459	chr11p	chr11	chr11p1
20683459	30981555	chr11p	chr11	chr11p2
30981555	41279651	chr11p	chr11	chr11p3
41279651	51577747	chr11p	chr11	chr11p4
54703204	70751854	chr11q	chr11	chr11q0
70751854	86800504	chr11q	chr11	chr11q1
86800504	102849154	chr11q	chr11	chr11q2
102849154	118897804	chr11q	chr11	chr11q3
118897804	134946454	chr11q	chr11	chr11q4
60316	6896458	chr12p	chr12	chr12p0
6896458	13732600	chr12p	chr12	chr12p1
13732600	20568742	chr12p	chr12	chr12p2
20568742	27404884	chr12p	chr12	chr12p3
27404884	34241026	chr12p	chr12	chr12p4
37911537	57097593	chr12q	chr12	chr12q0
57097593	76283649	chr12q	chr12	chr12q1
76283649	95469705	chr12q	chr12	chr12q2
95469705	114655761	chr12q	chr12	chr12q3
114655761	133841817	chr12q	chr12	chr12q4
19020094	38238046	chr13q	chr13	chr13q0
38238046	57455998	chr13q	chr13	chr13q1
57455998	76673950	chr13q	chr13	chr13q2
76673950	95891902	chr13q	chr13	chr13q3
95891902	115109854	chr13q	chr13	chr13q4
19000058	36657934	chr14q	chr14	chr14q0
36657934	54315810	chr14q	chr14	chr14q1
54315810	71973686	chr14q	chr14	chr14q2
71973686	89631562	chr14q	chr14	chr14q3
89631562	107289438	chr14q	chr14	chr14q4
20000446	36504521	chr15q	chr15	chr15q0
36504521	53008596	chr15q	chr15	chr15q1
53008596	69512671	chr15q	chr15	chr15q2
69512671	86016746	chr15q	chr15	chr15q3
86016746	102520821	chr15q	chr15	chr15q4
60179	7102677	chr16p	chr16	chr16p0
7102677	14145175	chr16p	chr16	chr16p1
14145175	21187673	chr16p	chr16	chr16p2
21187673	28230171	chr16p	chr16	chr16p3
28230171	35272669	chr16p	chr16	chr16p4
46400586	55179027	chr16q	chr16	chr16q0
55179027	63957468	chr16q	chr16	chr16q1
63957468	72735909	chr16q	chr16	chr16q2
72735909	81514350	chr16q	chr16	chr16q3
81514350	90292791	chr16q	chr16	chr16q4
51	4449769	chr17p	chr17	chr17p0
4449769	8899487	chr17p	chr17	chr17p1
8899487	13349205	chr17p	chr17	chr17p2
13349205	17798923	chr17p	chr17	chr17p3
