track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	20619	2286.2000	0.0000	11536.0000	3299.2481	9.0154	3.1724	1.0000e-02	1.0000e-02	27	134912	6.5412e-03	4201	43702693	2.1189e+00	6	20619	9.9971e-04	22.2222	15.2833	0.1428	0.0472
HFNAHRinvs	genomicSuperDups_coords_normal.bed	20619	1103.4300	0.0000	5908.0000	3224.0244	18.6703	4.2227	1.0000e-02	1.0000e-02	7	90449	4.3854e-03	4201	43702693	2.1189e+00	6	20619	9.9971e-04	85.7143	22.7963	0.1428	0.0472
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	20619	1693.4900	0.0000	14047.0000	4085.8501	12.1689	3.6051	1.0000e-02	1.0000e-02	7	90449	4.3854e-03	4201	43702693	2.1189e+00	6	20619	9.9971e-04	85.7143	22.7963	0.1428	0.0472
HFNHinvs	genomicSuperDups_coords_normal.bed	0	807.6300	0.0000	2633.0000	1738.2397	0.0012	-9.6593	4.6000e-01	4.6000e-01	20	44463	2.1558e-03	4201	43702693	2.1189e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	20619	2150.4900	0.0000	4687.0000	2336.1480	9.5841	3.2606	1.0000e-02	1.0000e-02	27	134912	6.5412e-03	4201	43702693	2.1189e+00	6	20619	9.9971e-04	22.2222	15.2833	0.1428	0.0472
invs	genomicSuperDups_coords_normal.bed	391154	62371.3700	19825.0000	125370.0000	31105.7950	6.2713	2.6488	1.0000e-02	1.0000e-02	78	1762216	8.5441e-02	4201	43702693	2.1189e+00	28	391154	1.8965e-02	35.8974	22.1967	0.6665	0.8950
LFinvs	genomicSuperDups_coords_normal.bed	371652	61737.0400	16397.0000	121053.0000	33201.7896	6.0198	2.5897	1.0000e-02	1.0000e-02	52	1644981	7.9757e-02	4201	43702693	2.1189e+00	24	371652	1.8020e-02	46.1538	22.5931	0.5713	0.8504
LFNAHRinvs	genomicSuperDups_coords_normal.bed	369368	53098.8700	3336.0000	131652.0000	37386.4727	6.9561	2.7983	1.0000e-02	1.0000e-02	12	1340406	6.4990e-02	4201	43702693	2.1189e+00	22	369368	1.7909e-02	183.3333	27.5564	0.5237	0.8452
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	8274.1100	823.0000	25246.0000	7089.6302	0.2761	-1.8566	2.0000e-01	2.0000e-01	40	304575	1.4767e-02	4201	43702693	2.1189e+00	2	2284	1.1074e-04	5.0000	0.7499	0.0476	0.0052
NAHRinvs	genomicSuperDups_coords_normal.bed	388870	54367.7600	5968.0000	114399.0000	33259.1013	7.1525	2.8384	1.0000e-02	1.0000e-02	18	1413178	6.8518e-02	4201	43702693	2.1189e+00	26	388870	1.8854e-02	144.4444	27.5174	0.6189	0.8898
NAHRno501invs	genomicSuperDups_coords_normal.bed	388870	48004.6300	9133.0000	108372.0000	31126.5276	8.1005	3.0180	1.0000e-02	1.0000e-02	18	1413178	6.8518e-02	4201	43702693	2.1189e+00	26	388870	1.8854e-02	144.4444	27.5174	0.6189	0.8898
NHinvs	genomicSuperDups_coords_normal.bed	2284	7334.4700	908.0000	20391.0000	5706.6391	0.3115	-1.6827	1.8000e-01	1.8000e-01	60	349038	1.6923e-02	4201	43702693	2.1189e+00	2	2284	1.1074e-04	3.3333	0.6544	0.0476	0.0052
no501invs	genomicSuperDups_coords_normal.bed	391154	67550.8800	22559.0000	124500.0000	32092.3880	5.7904	2.5337	1.0000e-02	1.0000e-02	78	1762216	8.5441e-02	4201	43702693	2.1189e+00	28	391154	1.8965e-02	35.8974	22.1967	0.6665	0.8950
