Start	End	Chromosome
752721	74264167.0204082	chr1
74264167.0204082	147775613.040816	chr1
147775613.040816	175659264.979592	chr1
175659264.979592	213682426.714286	chr1
213682426.714286	249170711	chr1
158946	26393389.1020408	chr10
26393389.1020408	60912393.1836735	chr10
60912393.1836735	91289116.7755102	chr10
91289116.7755102	116142799.714286	chr10
116142799.714286	135473442	chr10
241489	30481001.0612245	chr11
30481001.0612245	63469559.6734694	chr11
63469559.6734694	81338362.255102	chr11
81338362.255102	107454304.489796	chr11
107454304.489796	134944770	chr11
191619	23358895.4795918	chr12
23358895.4795918	53340076.8061225	chr12
53340076.8061225	76507353.2857143	chr12
76507353.2857143	106488534.612245	chr12
106488534.612245	133744154	chr12
19260565	43702991.7857143	chr13
43702991.7857143	67167721.5	chr13
67167721.5	79877783.4285714	chr13
79877783.4285714	96498633.6428571	chr13
96498633.6428571	115074878	chr13
19035752	34344370.8265306	chr14
34344370.8265306	49652989.6530612	chr14
49652989.6530612	59558566.5408163	chr14
59558566.5408163	80270227.3061225	chr14
80270227.3061225	107285437	chr14
20161372	38622797.4897959	chr15
38622797.4897959	53727600.1632653	chr15
53727600.1632653	67993247.1326531	chr15
67993247.1326531	85615516.9183674	chr15
85615516.9183674	102398631	chr15
143503	23102138.7142857	chr16
23102138.7142857	46979119.8571429	chr16
46979119.8571429	61672646.7142857	chr16
61672646.7142857	75447828.1428571	chr16
75447828.1428571	90141355	chr16
6888	17373479.3571429	chr17
17373479.3571429	28951206.9285714	chr17
28951206.9285714	38047992.877551	chr17
38047992.877551	58722506.3979592	chr17
58722506.3979592	81050981	chr17
112535	12036317.7040816	chr18
12036317.7040816	45422909.2755102	chr18
45422909.2755102	78014582	chr18
261033	14660310.5510204	chr19
14660310.5510204	29659558	chr19
29659558	36859196.7755102	chr19
36859196.7755102	46458715.1428571	chr19
46458715.1428571	59058083	chr19
118913	52174280	chr2
52174280	111666128	chr2
111666128	141412052	chr2
141412052	163721495	chr2
163721495	183552111	chr2
183552111	210819208	chr2
210819208	243043959	chr2
69094	16740246.244898	chr20
16740246.244898	43029370.9387755	chr20
43029370.9387755	62906514	chr20
14665973	24899288.3061225	chr21
24899288.3061225	36838156.1632653	chr21
36838156.1632653	48094803	chr21
17087705	28932923.3673469	chr22
28932923.3673469	34158755	chr22
34158755	39384586.6326531	chr22
39384586.6326531	44958807.0408163	chr22
44958807.0408163	51229805	chr22
108226	26332677.3673469	chr3
26332677.3673469	54574394.2244898	chr3
54574394.2244898	76764314.6122449	chr3
76764314.6122449	117109624.408163	chr3
117109624.408163	153420403.22449	chr3
153420403.22449	173593058.122449	chr3
173593058.122449	197800244	chr3
167596	29366952.9387755	chr4
29366952.9387755	68299428.8571429	chr4
68299428.8571429	105285280.979592	chr4
105285280.979592	153950875.877551	chr4
153950875.877551	190936728	chr4
157856	27790760.6428571	chr5
27790760.6428571	60950246.2142857	chr5
60950246.2142857	84898763.5714286	chr5
84898763.5714286	132795798.285714	chr5
132795798.285714	180692833	chr5
183917	21097929.2857143	chr6
21097929.2857143	36783438.5	chr6
36783438.5	52468947.7142857	chr6
52468947.7142857	109982481.5	chr6
109982481.5	170981684	chr6
46239	37379756.1530612	chr7
37379756.1530612	69843684.1122449	chr7
69843684.1122449	99061219.2755102	chr7
99061219.2755102	136394736.428571	chr7
136394736.428571	159119486	chr7
113565	28452046.7755102	chr8
28452046.7755102	59773526.6326531	chr8
59773526.6326531	79163014.1632653	chr8
79163014.1632653	94078004.5714286	chr8
94078004.5714286	106009996.897959	chr8
106009996.897959	122416486.346939	chr8
122416486.346939	146280471	chr8
212908	31824445.5714286	chr9
31824445.5714286	70620423.5	chr9
70620423.5	93610632.6428571	chr9
93610632.6428571	118037729.857143	chr9
118037729.857143	141027939	chr9
