pos	val	Chromosome	valScaled	Type
105096718.40816326	4.884553352392442e-09	chr10	1.3417534385459888e-06	Minima
135473442.0	7.10750472376982e-09	chr10	1.9523829948400607e-06	Minima
158946.0	7.2029169956925836e-09	chr10	1.9785920941570224e-06	Minima
44343271.22448979	2.302883735636709e-09	chr10	6.325864307222195e-07	Minima
77481515.14285713	7.177276212178306e-09	chr10	1.9715487460829467e-06	Maxima
127188881.02040815	1.2156706307377855e-08	chr10	3.3393641777561325e-06	Maxima
8443506.979591835	1.2610130097991225e-08	chr10	3.463916595609458e-06	Maxima
88210978.63265306	4.844644619216358e-09	chr11	1.3307907821670186e-06	Minima
241489.0	6.357446886713551e-09	chr11	1.7463472307950867e-06	Minima
134944770.0	7.6465609202381e-09	chr11	2.1004580496097204e-06	Minima
52473373.469387755	2.092194694798416e-09	chr11	5.747115904627157e-07	Minima
74465745.87755102	6.431088088535357e-09	chr11	1.7665759658778288e-06	Maxima
8488628.653061224	1.0375453248076866e-08	chr11	2.8500661304603554e-06	Maxima
126697630.34693877	1.1795774647851347e-08	chr11	3.24021871648021e-06	Maxima
84684039.10204081	4.3692545100026826e-09	chr12	1.200204366650484e-06	Minima
191619.0	7.173794474306943e-09	chr12	1.9705923364741275e-06	Minima
133744154.0	8.307490585557564e-09	chr12	2.2820109137308764e-06	Minima
38349486.14285714	2.706747502555442e-09	chr12	7.43525048621015e-07	Minima
68330667.46938775	6.2918004345006415e-09	chr12	1.7283145988161824e-06	Maxima
8368304.816326531	1.1348761622718922e-08	chr12	3.1174272921112848e-06	Maxima
128293030.12244897	1.2642323286409267e-08	chr12	3.4727598445498163e-06	Maxima
85743965.85714287	4.897094105151574e-09	chr13	1.3451982976605442e-06	Minima
19260565.0	8.3048813764298e-09	chr13	2.2812941818075066e-06	Minima
115074878.0	9.315965100309133e-09	chr13	2.5590319738429865e-06	Minima
60323842.0	4.128752887570158e-09	chr13	1.1341402138827237e-06	Minima
74011601.0	8.759259574049502e-09	chr13	2.406108768745727e-06	Maxima
27082141.57142857	1.7087211869041815e-08	chr13	4.6937403742803185e-06	Maxima
107253301.42857143	1.826138231962105e-08	chr13	5.01627697606237e-06	Maxima
64061101.489795916	6.771874649835959e-09	chr14	1.860187706286271e-06	Minima
19035752.0	8.999455926503073e-09	chr14	2.472089065935629e-06	Minima
107285437.0	6.0540999623886265e-09	chr14	1.663019902906251e-06	Minima
44249947.71428572	5.3599485176209974e-09	chr14	1.4723412429152724e-06	Minima
55056031.591836736	9.403644547039101e-09	chr14	2.5831169189039553e-06	Maxima
24438793.93877551	1.642293156416873e-08	chr14	4.511267112362669e-06	Maxima
96479353.12244898	1.8805882913935062e-08	chr14	5.165847569728487e-06	Maxima
75545648.46938775	7.107875536733941e-09	chr15	1.9524848546282078e-06	Minima
47014354.530612245	6.4153485736985245e-09	chr15	1.7622524286719098e-06	Minima
102398631.0	1.2456311582581117e-08	chr15	3.4216637001911976e-06	Minima
20161372.0	3.243010616020175e-09	chr15	8.908328625697064e-07	Minima
60440845.79591837	1.171934637927676e-08	chr15	3.2192243931994863e-06	Maxima
30231240.448979594	1.4983223149741278e-08	chr15	4.115789045854199e-06	Maxima
95685385.36734694	2.436542014522036e-08	chr15	6.6930144688571115e-06	Maxima
68101064.71428572	5.644645962773706e-09	chr16	1.5505456862738048e-06	Minima
143503.0	8.183131242579223e-09	chr16	2.2478502517381513e-06	Minima
90141355.0	9.994987792306352e-09	chr16	2.7455548687954548e-06	Minima
38714011.0	3.406810373801889e-10	chr16	9.358275370835938e-08	Minima
55244228.71428571	1.2967361679694308e-08	chr16	3.5620456707832537e-06	Maxima
7490266.428571428	1.7722336076630643e-08	chr16	4.868204655445087e-06	Maxima
82794591.57142857	2.1574692360399394e-08	chr16	5.926420610383782e-06	Maxima
43009876.12244898	6.029435473512889e-09	chr17	1.6562447363001186e-06	Minima
81050981.0	8.953362133954828e-09	chr17	2.459427415998498e-06	Minima
6888.0	1.0273202425681148e-08	chr17	2.821978528043972e-06	Minima
24816304.224489797	3.4935808041647742e-09	chr17	9.59662781558197e-07	Minima
33086109.63265306	1.1076997069384336e-08	chr17	3.0427754257880325e-06	Maxima
74435136.67346938	1.9743556286243504e-08	chr17	5.423420039668167e-06	Maxima
9930654.489795918	2.2034596291212037e-08	chr17	6.05275307848272e-06	Maxima
78014582.0	9.898415153666234e-09	chr18	2.7190270246679316e-06	Minima
112535.0	1.362433831224359e-08	chr18	3.742512663806394e-06	Minima
17600749.63265306	5.798235624095031e-09	chr18	1.5927357170372244e-06	Minima
73245068.91836734	1.7810474901371872e-08	chr18	4.892415788507647e-06	Maxima
6471885.775510204	2.6086602823159343e-08	chr18	7.165811592745478e-06	Maxima
39859046.26530612	9.425207574998155e-09	chr19	2.5890401353829712e-06	Minima
261033.0	1.6265961539421334e-08	chr19	4.468148518858043e-06	Minima
59058083.0	1.2313613147525994e-08	chr19	3.382465414882969e-06	Minima
25459768.714285713	2.754284086734263e-09	chr19	7.565830235630685e-07	Minima
33859347.28571428	1.3871569625683343e-08	chr19	3.810425416721981e-06	Maxima
3860852.387755102	2.7082154274506616e-08	chr19	7.439282775620446e-06	Maxima
53058384.02040816	3.0721878203163515e-08	chr19	8.439090075143857e-06	Maxima
188333652.2244898	3.0987804056919457e-09	chr1	8.512138090578174e-07	Minima
249170711.0	3.5450798191662933e-09	chr1	9.73809209179092e-07	Minima
752721.0	3.702828767768754e-09	chr1	1.0171417677457201e-06	Minima
132566348.34693879	4.931113355834474e-10	chr1	1.3545431534308638e-07	Minima
162984877.73469388	4.503213899796431e-09	chr1	1.2370020959235705e-06	Maxima
239031201.20408165	5.934779929505287e-09	chr1	1.6302435049720926e-06	Maxima
15961985.693877552	6.334562318655381e-09	chr1	1.7400609962785468e-06	Maxima
69094.0	1.3785247883804967e-08	chr20	3.786713423908992e-06	Minima
62906514.0	1.207578689496301e-08	chr20	3.3171361679423872e-06	Minima
28281813.18367347	2.3924192971296594e-09	chr20	6.571812378290904e-07	Minima
5198679.306122449	2.478527170399985e-08	chr20	6.808344823964268e-06	Maxima
57776928.693877555	2.6076059006971733e-08	chr20	7.162915278465648e-06	Maxima
31039277.48979592	2.0060538293436157e-08	chr21	5.510492831676802e-06	Minima
48094803.0	1.3578723389864007e-08	chr21	3.729982556233337e-06	Minima
14665973.0	1.2068373702483229e-08	chr21	3.315099814609185e-06	Minima
18759299.12244898	3.667059497639651e-08	chr21	1.0073161935882597e-05	Maxima
42637034.8367347	4.48156462013243e-08	chr21	1.231055186690408e-05	Maxima
41474919.28571428	1.2446032624834569e-08	chr22	3.4188401407158272e-06	Minima
17087705.0	1.994361594966551e-08	chr22	5.47837506256281e-06	Minima
51229805.0	1.926815897186276e-08	chr22	5.292831644941458e-06	Minima
31023256.02040816	1.2414727012443359e-08	chr22	3.4102407028468314e-06	Minima
37294253.97959183	3.0890364218894216e-08	chr22	8.48537203270357e-06	Maxima
26842590.714285716	3.8756563683264564e-08	chr22	1.0646163289991804e-05	Maxima
48442694.79591837	4.451124126210335e-08	chr22	1.2226933909550816e-05	Maxima
153806187.0	2.9507685500916947e-09	chr2	8.105559634228757e-07	Minima
193467419.0	2.8272033315745086e-09	chr2	7.766134419948079e-07	Minima
243043959.0	3.789026149015119e-09	chr2	1.0408195995426278e-06	Minima
118913.0	4.054410676780708e-09	chr2	1.1137189164253016e-06	Minima
94314339.0	1.876969446474437e-09	chr2	5.155906849946303e-07	Minima
173636803.0	3.6732426015228776e-09	chr2	1.0090146499869686e-06	Maxima
129017917.0	3.84534462785977e-09	chr2	1.0562899009585145e-06	Maxima
228170997.0	6.041936238118083e-09	chr2	1.6596786109419543e-06	Maxima
10034221.0	6.4107263294106126e-09	chr2	1.7609827297414912e-06	Maxima
161489465.18367347	3.409476927274195e-09	chr3	9.365600211066786e-07	Minima
108226.0	5.701089888247542e-09	chr3	1.5660504470217775e-06	Minima
44488066.77551021	3.4928331534800514e-09	chr3	9.594574070224543e-07	Minima
197800244.0	4.6257795465481674e-09	chr3	1.2706700418159428e-06	Minima
88867907.55102041	1.6012569097869803e-09	chr3	4.3985433461380434e-07	Minima
145351341.26530612	4.639756938196309e-09	chr3	1.2745095358193428e-06	Maxima
8177287.959183673	8.095040101237886e-09	chr3	2.223652216979807e-06	Maxima
64660721.67346939	6.146876141393447e-09	chr3	1.6885048855063292e-06	Maxima
185696651.0612245	7.685307741976833e-09	chr3	2.111101536854099e-06	Maxima
124751518.93877551	3.465711970674998e-09	chr4	9.520074033761041e-07	Minima
