pos	val	Chromosome	valScaled	Type
60881114.795918375	4.702811947341771e-09	chr10	1.2443160655366182e-08	Minima
105114156.10204083	4.969038206488527e-09	chr10	1.3147568178000104e-08	Minima
135524372.0	6.771693263175554e-09	chr10	1.7917209560161623e-08	Minima
60683.0	6.732450486345695e-09	chr10	1.781337717602119e-08	Minima
41529159.2244898	4.17922727883805e-09	chr10	1.105780903598854e-08	Minima
49822854.469387755	5.673579939552782e-09	chr10	1.5011713729872313e-08	Maxima
80233070.36734694	6.471479680054946e-09	chr10	1.7122875045509304e-08	Maxima
127230676.75510205	1.0762792815103928e-08	chr10	2.8477251822594794e-08	Maxima
8354378.24489796	1.2290512793410748e-08	chr10	3.251944303486076e-08	Maxima
104671939.53061225	5.9966071193661745e-09	chr11	1.586641069404497e-08	Minima
88158570.18367347	5.8474563790082654e-09	chr11	1.5471773050668795e-08	Minima
87267.0	7.469412924224874e-09	chr11	1.9763304605435904e-08	Minima
134946450.0	6.705596103822341e-09	chr11	1.774232321941388e-08	Minima
52379603.26530612	2.4982595445499455e-09	chr11	6.610139894963944e-09	Minima
99167483.08163266	6.15865934986652e-09	chr11	1.629518436419268e-08	Maxima
77149657.28571428	6.4337561283530655e-09	chr11	1.7023062376073767e-08	Maxima
8343951.673469388	1.1370777788009064e-08	chr11	3.008591803732262e-08	Maxima
126689765.32653062	1.067162302754412e-08	chr11	2.8236025865396245e-08	Maxima
106539467.46938775	7.33287743118494e-09	chr12	1.9402045619518798e-08	Minima
57395243.71428572	4.9348648714897875e-09	chr12	1.305714901978577e-08	Minima
84697590.24489796	4.101271990206665e-09	chr12	1.0851547294877659e-08	Minima
60316.0	7.389349923672154e-09	chr12	1.9551466073599375e-08	Minima
133841814.0	8.26733362193027e-09	chr12	2.1874521371694695e-08	Minima
38283601.14285714	3.2279267722100698e-09	chr12	8.540764942359816e-09	Minima
101078998.16326532	7.4500829315030194e-09	chr12	1.9712159416642834e-08	Maxima
51934774.408163264	5.168864511179156e-09	chr12	1.3676288194933615e-08	Maxima
68316182.32653062	5.753467566883391e-09	chr12	1.5223088242053834e-08	Maxima
