Start	End	chromID	Chromosome	winID
158946	7946740	chr10p	chr10	chr10p0
7946740	15734534	chr10p	chr10	chr10p1
15734534	23522328	chr10p	chr10	chr10p2
23522328	31310122	chr10p	chr10	chr10p3
31310122	39097916	chr10p	chr10	chr10p4
42436301	61043730	chr10q	chr10	chr10q0
61043730	79651159	chr10q	chr10	chr10q1
79651159	98258588	chr10q	chr10	chr10q2
98258588	116866017	chr10q	chr10	chr10q3
116866017	135473446	chr10q	chr10	chr10q4
241489	10472178	chr11p	chr11	chr11p0
10472178	20702867	chr11p	chr11	chr11p1
20702867	30933556	chr11p	chr11	chr11p2
30933556	41164245	chr11p	chr11	chr11p3
41164245	51394934	chr11p	chr11	chr11p4
54794237	70824344	chr11q	chr11	chr11q0
70824344	86854451	chr11q	chr11	chr11q1
86854451	102884558	chr11q	chr11	chr11q2
102884558	118914665	chr11q	chr11	chr11q3
118914665	134944772	chr11q	chr11	chr11q4
191619	7115336	chr12p	chr12	chr12p0
7115336	14039053	chr12p	chr12	chr12p1
14039053	20962770	chr12p	chr12	chr12p2
20962770	27886487	chr12p	chr12	chr12p3
27886487	34810204	chr12p	chr12	chr12p4
37961768	57118246	chr12q	chr12	chr12q0
57118246	76274724	chr12q	chr12	chr12q1
76274724	95431202	chr12q	chr12	chr12q2
95431202	114587680	chr12q	chr12	chr12q3
114587680	133744158	chr12q	chr12	chr12q4
19260565	38423428	chr13q	chr13	chr13q0
38423428	57586291	chr13q	chr13	chr13q1
57586291	76749154	chr13q	chr13	chr13q2
76749154	95912017	chr13q	chr13	chr13q3
95912017	115074880	chr13q	chr13	chr13q4
19035752	36685689	chr14q	chr14	chr14q0
36685689	54335626	chr14q	chr14	chr14q1
54335626	71985563	chr14q	chr14	chr14q2
71985563	89635500	chr14q	chr14	chr14q3
89635500	107285437	chr14q	chr14	chr14q4
20161372	36608824	chr15q	chr15	chr15q0
36608824	53056276	chr15q	chr15	chr15q1
53056276	69503728	chr15q	chr15	chr15q2
69503728	85951180	chr15q	chr15	chr15q3
85951180	102398632	chr15q	chr15	chr15q4
143503	7143361	chr16p	chr16	chr16p0
7143361	14143219	chr16p	chr16	chr16p1
14143219	21143077	chr16p	chr16	chr16p2
21143077	28142935	chr16p	chr16	chr16p3
28142935	35142793	chr16p	chr16	chr16p4
46539392	55259785	chr16q	chr16	chr16q0
55259785	63980178	chr16q	chr16	chr16q1
63980178	72700571	chr16q	chr16	chr16q2
72700571	81420964	chr16q	chr16	chr16q3
81420964	90141357	chr16q	chr16	chr16q4
6888	4453982	chr17p	chr17	chr17p0
4453982	8901076	chr17p	chr17	chr17p1
8901076	13348170	chr17p	chr17	chr17p2
13348170	17795264	chr17p	chr17	chr17p3
17795264	22242358	chr17p	chr17	chr17p4
