track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3320614	884370.6100	477665.0000	1316180.0000	274768.4547	3.7548	1.9087	1.0000e-02	1.0000e-02	19	8209286	1.1735e+00	2855	85675883	1.2247e+01	38	3320614	4.7466e-01	200.0000	40.4495	1.3310	3.8758
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3320614	838280.7400	450623.0000	1334977.0000	257047.7215	3.9612	1.9859	1.0000e-02	1.0000e-02	12	8072200	1.1539e+00	2855	85675883	1.2247e+01	38	3320614	4.7466e-01	316.6667	41.1364	1.3310	3.8758
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1459386	351299.1800	161310.0000	702666.0000	166477.5911	4.1542	2.0546	1.0000e-02	1.0000e-02	11	2421091	3.4608e-01	2855	85675883	1.2247e+01	26	1459386	2.0861e-01	236.3636	60.2780	0.9107	1.7034
HFNHinvs	genomicSuperDups_coords_normal.bed	0	11040.1900	0.0000	29302.0000	10517.8711	0.0001	-13.4306	2.2000e-01	2.2000e-01	7	137086	1.9596e-02	2855	85675883	1.2247e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1459386	332022.7500	164110.0000	658336.0000	156682.1436	4.3954	2.1360	1.0000e-02	1.0000e-02	18	2558177	3.6567e-01	2855	85675883	1.2247e+01	26	1459386	2.0861e-01	144.4444	57.0479	0.9107	1.7034
invs	genomicSuperDups_coords_normal.bed	4213127	1189397.2600	708269.0000	1901135.0000	344453.8529	3.5422	1.8247	1.0000e-02	1.0000e-02	36	10050495	1.4367e+00	2855	85675883	1.2247e+01	70	4213127	6.0224e-01	194.4444	41.9196	2.4518	4.9175
LFinvs	genomicSuperDups_coords_normal.bed	892513	229307.1000	68164.0000	485122.0000	122828.4056	3.8922	1.9606	1.0000e-02	1.0000e-02	18	1852592	2.6482e-01	2855	85675883	1.2247e+01	32	892513	1.2758e-01	177.7778	48.1764	1.1208	1.0417
LFNAHRinvs	genomicSuperDups_coords_normal.bed	694973	127937.6600	4179.0000	402169.0000	129743.1408	5.4321	2.4415	1.0000e-02	1.0000e-02	8	994122	1.4210e-01	2855	85675883	1.2247e+01	19	694973	9.9342e-02	237.5000	69.9082	0.6655	0.8112
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	104013.7100	3257.0000	364545.0000	117968.2097	1.8992	0.9254	1.9000e-01	1.9000e-01	10	858470	1.2271e-01	2855	85675883	1.2247e+01	13	197540	2.8237e-02	130.0000	23.0107	0.4553	0.2306
NAHRinvs	genomicSuperDups_coords_normal.bed	4015587	1048902.5700	566332.0000	1540736.0000	300149.4027	3.8284	1.9367	1.0000e-02	1.0000e-02	20	9066322	1.2960e+00	2855	85675883	1.2247e+01	57	4015587	5.7400e-01	285.0000	44.2912	1.9965	4.6870
NAHRno501invs	genomicSuperDups_coords_normal.bed	2154359	500098.0600	220368.0000	925446.0000	209289.6193	4.3079	2.1070	1.0000e-02	1.0000e-02	19	3415213	4.8818e-01	2855	85675883	1.2247e+01	45	2154359	3.0795e-01	236.8421	63.0812	1.5762	2.5145
NHinvs	genomicSuperDups_coords_normal.bed	197540	129624.5500	6310.0000	415735.0000	137384.1510	1.5239	0.6078	2.8000e-01	2.8000e-01	16	984173	1.4068e-01	2855	85675883	1.2247e+01	13	197540	2.8237e-02	81.2500	20.0717	0.4553	0.2306
no501invs	genomicSuperDups_coords_normal.bed	2351899	627987.2500	257037.0000	1093290.0000	247885.4730	3.7451	1.9050	1.0000e-02	1.0000e-02	35	4399386	6.2886e-01	2855	85675883	1.2247e+01	58	2351899	3.3619e-01	165.7143	53.4597	2.0315	2.7451
