Start	End	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
752721.0	74264167.0204082	chr1	73511446.0204082	3.0	3.0	0.0	1968.0	1178.0	1.3193893544084e-06	0.000426479
74264167.0204082	147775613.040816	chr1	73511446.02040781	2.0	1.0	1.0	2862.0	1628.0	5.984640085613001e-07	0.000402942
147775613.040816	175659264.979592	chr1	27883651.938775986	1.0	0.0	1.0	1782.0	954.0	1.1351400051136984e-06	0.00080052
175659264.979592	213682426.714286	chr1	38023161.734694004	4.0	4.0	0.0	572.0	128.0	9.460997512835144e-07	0.000233727
213682426.714286	249170711.0	chr1	35488284.285714	0.0	0.0	0.0	1094.0	258.0	1.4965174670022437e-06	0.000477011
158946.0	26393389.1020408	chr10	26234443.1020408	3.0	2.0	1.0	360.0	82.0	1.7864800111956038e-06	0.000468466
26393389.1020408	60912393.1836735	chr10	34519004.0816327	3.0	2.0	1.0	2568.0	1178.0	6.945652996190171e-07	0.000289471
60912393.1836735	91289116.7755102	chr10	30376723.591836706	2.0	2.0	0.0	574.0	290.0	1.0468358819035304e-06	0.000264553
91289116.7755102	116142799.714286	chr10	24853682.938775793	0.0	0.0	0.0	228.0	22.0	9.336056196515115e-07	0.000159312
116142799.714286	135473442.0	chr10	19330642.285714	1.0	1.0	0.0	168.0	34.0	2.057027664763173e-06	0.000640854
241489.0	30481001.0612245	chr11	30239512.0612245	2.0	1.0	1.0	748.0	120.0	1.498593605073792e-06	0.000371061
30481001.0612245	63469559.6734694	chr11	32988558.6122449	1.0	1.0	0.0	842.0	484.0	7.072901325872399e-07	0.000334609
63469559.6734694	81338362.255102	chr11	17868802.58163259	2.0	1.0	1.0	1256.0	158.0	9.958191720716248e-07	0.000196833
81338362.255102	107454304.489796	chr11	26115942.234694004	0.0	0.0	0.0	498.0	240.0	7.373784080716213e-07	0.000225632
107454304.489796	134944770.0	chr11	27490465.510204002	0.0	0.0	0.0	346.0	64.0	1.7392690102895348e-06	0.000331321
191619.0	23358895.4795918	chr12	23167276.4795918	0.0	0.0	0.0	816.0	174.0	1.7617024880145035e-06	0.000358918
23358895.4795918	53340076.8061225	chr12	29981181.326530695	4.0	4.0	0.0	654.0	118.0	7.584671973421496e-07	0.000432374
53340076.8061225	76507353.2857143	chr12	23167276.4795918	3.0	2.0	1.0	298.0	26.0	9.31580997710786e-07	0.000391175
76507353.2857143	106488534.612245	chr12	29981181.326530695	0.0	0.0	0.0	306.0	28.0	9.582154911907499e-07	0.00027115
106488534.612245	133744154.0	chr12	27255619.387755007	0.0	0.0	0.0	166.0	82.0	1.789517322128529e-06	0.000321199
19260565.0	43702991.7857143	chr13	24442426.7857143	0.0	0.0	0.0	1024.0	254.0	1.7739177497397924e-06	0.000432204
43702991.7857143	67167721.5	chr13	23464729.7142857	1.0	0.0	1.0	566.0	134.0	7.292561399525674e-07	0.000353981
67167721.5	79877783.4285714	chr13	12710061.928571403	0.0	0.0	0.0	250.0	22.0	1.0673605973657713e-06	0.000199513
79877783.4285714	96498633.6428571	chr13	16620850.214285702	1.0	0.0	1.0	168.0	0.0	7.916287730661563e-07	0.000114076
96498633.6428571	115074878.0	chr13	18576244.357142895	1.0	1.0	0.0	1826.0	1786.0	2.0410670832072465e-06	0.0002955
19035752.0	34344370.8265306	chr14	15308618.826530598	1.0	1.0	0.0	762.0	92.0	1.92091592584014e-06	0.000504921
34344370.8265306	49652989.6530612	chr14	15308618.826530606	2.0	1.0	1.0	68.0	4.0	7.838570205200621e-07	0.000181205
49652989.6530612	59558566.5408163	chr14	9905576.887755096	0.0	0.0	0.0	308.0	4.0	1.1716720012872902e-06	0.000257734
59558566.5408163	80270227.3061225	chr14	20711660.765306197	2.0	1.0	1.0	254.0	26.0	9.423554239490669e-07	0.000136631
80270227.3061225	107285437.0	chr14	27015209.693877503	1.0	0.0	1.0	558.0	174.0	1.6052978152007501e-06	0.000481211
20161372.0	38622797.4897959	chr15	18461425.4897959	0.0	0.0	0.0	3292.0	2006.0	1.5738867742194865e-06	0.000315314
38622797.4897959	53727600.1632653	chr15	15104802.673469402	0.0	0.0	0.0	254.0	48.0	8.696547171863083e-07	0.000480182
53727600.1632653	67993247.1326531	chr15	14265646.9693878	0.0	0.0	0.0	240.0	20.0	1.2259727646875636e-06	0.000302182
67993247.1326531	85615516.9183674	chr15	17622269.7857143	0.0	0.0	0.0	2312.0	1726.0	9.63465513732185e-07	0.000330873
