Start	End	Chromosome	Color
60683	23750218.622449	chr10	telomeric
23750218.622449	39146059	chr10	centromeric
52587419.5510204	116172416.428571	chr10	arm
116172416.428571	135524372	chr10	telomeric
42369508	52587419.5510204	chr10	centromeric
87267	29960848.8367347	chr11	telomeric
29960848.8367347	51577746	chr11	centromeric
77149657.2857143	107424167.755102	chr11	arm
107424167.755102	134946450	chr11	telomeric
54703204	77149657.2857143	chr11	centromeric
60316	21246021.9795918	chr12	telomeric
21246021.9795918	34241024	chr12	centromeric
51934774.4081633	106539467.469388	chr12	arm
106539467.469388	133841814	chr12	telomeric
37911537	51934774.4081633	chr12	centromeric
19020094	41571771.6632653	chr13	arm
41571771.6632653	97460711.9591837	chr13	arm
97460711.9591837	115109851	chr13	telomeric
19000058	33414650.1632653	chr14	arm
33414650.1632653	89271194.7959184	chr14	arm
89271194.7959184	107289435	chr14	telomeric
20000446	35157249.5714286	chr15	arm
35157249.5714286	85679928.1428571	chr15	arm
85679928.1428571	102520821	chr15	telomeric
60179	21349386.0918367	chr16	telomeric
21349386.0918367	35272666	chr16	centromeric
55304632.877551	75560932.6326531	chr16	arm
75560932.6326531	90292787	chr16	telomeric
46400586	55304632.877551	chr16	centromeric
51	16095178.8571429	chr17	telomeric
16095178.8571429	22248641	chr17	centromeric
33138936.7142857	67106294.5714286	chr17	arm
67106294.5714286	81190321	chr17	telomeric
25269196	33138936.7142857	chr17	centromeric
10718	10887374.3163265	chr18	telomeric
10887374.3163265	15396165	chr18	centromeric
23890214.122449	66873307.1428571	chr18	arm
66873307.1428571	78017072	chr18	telomeric
18528460	23890214.122449	chr18	centromeric
64704	14144459.8979592	chr19	telomeric
14144459.8979592	24608660	chr19	centromeric
33809891.4285714	47066929.3469388	chr19	arm
47066929.3469388	59118782	chr19	telomeric
27748235	33809891.4285714	chr19	centromeric
11007	27985750.2755102	chr1	telomeric
27985750.2755102	106823663.142857	chr1	arm
106823663.142857	121471518	chr1	centromeric
162773149.693878	213636319.285714	chr1	arm
213636319.285714	249240538	chr1	telomeric
142542466	162773149.693878	chr1	centromeric
61097	15743416.2346939	chr20	telomeric
15743416.2346939	26290878	chr20	centromeric
43630213.7653061	62963101	chr20	telomeric
29432184	43630213.7653061	chr20	centromeric
12571112.4897959	21655734.3979592	chr21	arm
21655734.3979592	37060093.2857143	chr21	arm
37060093.2857143	48119633	chr21	telomeric
16050606	22155623.4489796	chr22	arm
22155623.4489796	44780099.877551	chr22	arm
44780099.877551	51244236	chr22	telomeric
10180	19861266.7755102	chr2	telomeric
19861266.7755102	39712353.5510204	chr2	arm
39712353.5510204	92315497	chr2	centromeric
129042244.040816	213409362.836735	chr2	arm
213409362.836735	243185993	chr2	telomeric
95328622	129042244.040816	chr2	centromeric
60196	26312526.5306122	chr3	telomeric
26312526.5306122	64681317.3061225	chr3	arm
64681317.3061225	90483647	chr3	centromeric
145457718.938776	173729459.510204	chr3	arm
173729459.510204	197962380	chr3	telomeric
93654937	145457718.938776	chr3	centromeric
10455	28726067.3265306	chr4	telomeric
28726067.3265306	49644397	chr4	centromeric
109172412.142857	154006787.397959	chr4	arm
154006787.397959	191043880	chr4	telomeric
52677180	109172412.142857	chr4	centromeric
10042	26892370.255102	chr5	telomeric
26892370.255102	46392439	chr5	centromeric
77523766.8571429	153191926.836735	chr5	arm
153191926.836735	180875400	chr5	telomeric
49415504	77523766.8571429	chr5	centromeric
63978	15767088.6428571	chr6	telomeric
15767088.6428571	34959779.4285714	chr6	arm
34959779.4285714	58765872	chr6	centromeric
104751382.285714	139647183.714286	chr6	arm
139647183.714286	171053405	chr6	telomeric
61883737	104751382.285714	chr6	centromeric
16863	33901326.9183673	chr7	telomeric
33901326.9183673	58044258	chr7	centromeric
77949125.6938775	136398322.714286	chr7	arm
136398322.714286	159128566	chr7	telomeric
61059303	77949125.6938775	chr7	centromeric
11739	26396769	chr8	telomeric
26396769	43825143	chr8	centromeric
71664987	123912147	chr8	arm
123912147	146303787	chr8	telomeric
46853067	71664987	chr8	centromeric
10468	20172784.2857143	chr9	telomeric
20172784.2857143	40335100.5714286	chr9	arm
40335100.5714286	47217053	chr9	centromeric
80659733.1428571	129625358.408163	chr9	arm
129625358.408163	141146682	chr9	telomeric
65485592	80659733.1428571	chr9	centromeric
