pos	val	Chromosome	valScaled
158946.0	7.0253882330640756e-09	chr10	1.9295133084855937e-06
2920466.326530612	9.779674820448975e-09	chr10	2.685974367922971e-06
5681986.653061224	1.167151830303366e-08	chr10	3.2055666034152456e-06
8443506.979591835	1.2328615788006142e-08	chr10	3.3860375325889116e-06
11205027.306122448	1.1902176381399171e-08	chr10	3.268916530444382e-06
13966547.632653061	1.077245052719661e-08	chr10	2.9586388634586556e-06
16728067.959183672	9.344357398769311e-09	chr10	2.566415031032032e-06
19489588.285714284	8.034791440197588e-09	chr10	2.2067445243528906e-06
22251108.612244897	7.17785087571143e-09	chr10	1.9713869656096853e-06
25012628.93877551	6.8131386374380405e-09	chr10	1.8712192461654957e-06
27774149.265306123	6.6321325534001775e-09	chr10	1.821506171744327e-06
30535669.591836732	6.213321959958459e-09	chr10	1.7064804127439452e-06
33297189.918367345	5.35061889961416e-09	chr10	1.469540192362762e-06
36058710.244897954	4.19607114666369e-09	chr10	1.1524452246973994e-06
38820230.57142857	3.127054569239344e-09	chr10	8.588412778828659e-07
41581750.89795918	2.4811259975184045e-09	chr10	6.814378755198527e-07
44343271.22448979	2.3795316537470492e-09	chr10	6.535351273911284e-07
47104791.551020406	2.733972064418322e-09	chr10	7.508817033763024e-07
49866311.87755102	3.3442506475696024e-09	chr10	9.18493884939762e-07
52627832.20408163	3.9808658889369925e-09	chr10	1.0933393938074488e-06
55389352.530612245	4.4650453151130135e-09	chr10	1.226318613675287e-06
58150872.85714285	4.750628415861684e-09	chr10	1.3047536232851134e-06
60912393.183673464	4.93405870622203e-09	chr10	1.3551325026705874e-06
63673913.51020408	5.173906133222139e-09	chr10	1.421006271784824e-06
66435433.83673469	5.57624400829166e-09	chr10	1.5315078211228128e-06
69196954.1632653	6.107713385831923e-09	chr10	1.6774751617162075e-06
71958474.48979591	6.6208009818027235e-09	chr10	1.8183939710405361e-06
74719994.81632653	6.988711695555262e-09	chr10	1.9194401474182287e-06
77481515.14285713	7.169676359420257e-09	chr10	1.96914184584534e-06
