Start	End	chromID	Chromosome	winID	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683	7879492	chr10p	chr10	chr10p0	7818809	1.0	0.0	1.0	122.0	36.0	1.8522663520896664e-08	1.67676240934e-06
7879492	15698301	chr10p	chr10	chr10p1	7818809	1.0	1.0	0.0	224.0	18.0	1.512750600180328e-08	1.55584646054e-06
15698301	23517110	chr10p	chr10	chr10p2	7818809	1.0	1.0	0.0	82.0	30.0	1.0026225044059648e-08	1.73695539334e-06
23517110	31335919	chr10p	chr10	chr10p3	7818809	0.0	0.0	0.0	292.0	140.0	1.054073573109434e-08	2.03246956168e-06
31335919	39154728	chr10p	chr10	chr10p4	7818809	1.0	0.0	1.0	588.0	100.0	8.186908282984612e-09	7.58386928034e-07
42354984	60988862	chr10q	chr10	chr10q0	18633878	2.0	2.0	0.0	1694.0	938.0	7.131193177166533e-09	1.19767111541e-06
60988862	79622740	chr10q	chr10	chr10q1	18633878	1.0	1.0	0.0	184.0	56.0	6.886805153644446e-09	1.128307765e-06
79622740	98256618	chr10q	chr10	chr10q2	18633878	1.0	1.0	0.0	490.0	244.0	8.07963973786787e-09	1.46166529389e-06
98256618	116890496	chr10q	chr10	chr10q3	18633878	0.0	0.0	0.0	128.0	12.0	6.89268685447778e-09	9.19624143247e-07
116890496	135524374	chr10q	chr10	chr10q4	18633878	1.0	1.0	0.0	266.0	46.0	1.4352773593672795e-08	2.19240487572e-06
87267	10388309	chr11p	chr11	chr11p0	10301042	1.0	0.0	1.0	730.0	100.0	1.5226826286026124e-08	1.85197686846e-06
10388309	20689351	chr11p	chr11	chr11p1	10301042	0.0	0.0	0.0	158.0	22.0	1.2156392867604586e-08	1.75647340276e-06
20689351	30990393	chr11p	chr11	chr11p2	10301042	1.0	1.0	0.0	34.0	0.0	7.721732198429146e-09	2.40834527739e-06
30990393	41291435	chr11p	chr11	chr11p3	10301042	0.0	0.0	0.0	56.0	6.0	7.628476899233371e-09	1.36376747468e-06
41291435	51592477	chr11p	chr11	chr11p4	10301042	0.0	0.0	0.0	538.0	318.0	4.892018858486569e-09	8.38718111407e-07
54695472	70745668	chr11q	chr11	chr11q0	16050196	2.0	2.0	0.0	750.0	236.0	4.885492343481e-09	7.95585015736e-07
70745668	86795864	chr11q	chr11	chr11q1	16050196	1.0	0.0	1.0	788.0	84.0	7.048517685889691e-09	9.6193739906e-07
86795864	102846060	chr11q	chr11	chr11q2	16050196	0.0	0.0	0.0	442.0	234.0	7.116845060062273e-09	1.96071947213e-06
102846060	118896256	chr11q	chr11	chr11q3	16050196	0.0	0.0	0.0	208.0	40.0	7.564326740343103e-09	1.06176252429e-06
118896256	134946452	chr11q	chr11	chr11q4	16050196	0.0	0.0	0.0	160.0	28.0	1.3902880859062883e-08	2.13895966194e-06
60316	6899246	chr12p	chr12	chr12p0	6838930	0.0	0.0	0.0	124.0	24.0	1.8351352497737527e-08	1.94921074707e-06
6899246	13738176	chr12p	chr12	chr12p1	6838930	0.0	0.0	0.0	622.0	134.0	1.3038825282685554e-08	2.26036726507e-06
13738176	20577106	chr12p	chr12	chr12p2	6838930	0.0	0.0	0.0	98.0	16.0	8.404000988520117e-09	1.70660066016e-06
20577106	27416036	chr12p	chr12	chr12p3	6838930	0.0	0.0	0.0	32.0	14.0	9.172021547323757e-09	1.16279833935e-06
27416036	34254966	chr12p	chr12	chr12p4	6838930	0.0	0.0	0.0	134.0	44.0	4.803676915512168e-09	1.01702381721e-06
37905412	57092693	chr12q	chr12	chr12q0	19187281	4.0	4.0	0.0	502.0	58.0	5.6182186231422095e-09	8.75197749427e-07
57092693	76279974	chr12q	chr12	chr12q1	19187281	3.0	2.0	1.0	194.0	18.0	6.010181279886555e-09	1.06492322569e-06
76279974	95467255	chr12q	chr12	chr12q2	19187281	0.0	0.0	0.0	186.0	16.0	6.003909575709886e-09	2.14151877425e-06
95467255	114654536	chr12q	chr12	chr12q3	19187281	0.0	0.0	0.0	174.0	18.0	7.942573013802154e-09	9.59628213793e-07
114654536	133841817	chr12q	chr12	chr12q4	19187281	0.0	0.0	0.0	124.0	80.0	1.5433483402205077e-08	1.81358025604e-06
19020094	38238046	chr13q	chr13	chr13q0	19217952	0.0	0.0	0.0	864.0	192.0	1.3338317567077274e-08	1.84409700969e-06
38238046	57455998	chr13q	chr13	chr13q1	19217952	0.0	0.0	0.0	672.0	152.0	7.049521645381265e-09	1.21049879163e-06
57455998	76673950	chr13q	chr13	chr13q2	19217952	1.0	0.0	1.0	418.0	62.0	6.747723499034941e-09	1.89263955272e-06
76673950	95891902	chr13q	chr13	chr13q3	19217952	1.0	0.0	1.0	198.0	4.0	5.81752405095674e-09	1.18677666189e-06
95891902	115109854	chr13q	chr13	chr13q4	19217952	1.0	1.0	0.0	1842.0	1786.0	1.383223071574377e-08	1.65779765071e-06
19000058	36657934	chr14q	chr14	chr14q0	17657876	2.0	1.0	1.0	780.0	96.0	1.4530717536160848e-08	1.82671014403e-06
36657934	54315810	chr14q	chr14	chr14q1	17657876	1.0	1.0	0.0	320.0	4.0	5.965572557070496e-09	1.52866421852e-06
54315810	71973686	chr14q	chr14	chr14q2	17657876	2.0	1.0	1.0	202.0	12.0	6.881660036000567e-09	1.1939444096e-06
71973686	89631562	chr14q	chr14	chr14q3	17657876	0.0	0.0	0.0	186.0	18.0	7.350925824046022e-09	9.63193612393e-07
89631562	107289438	chr14q	chr14	chr14q4	17657876	1.0	0.0	1.0	462.0	170.0	1.398822555448086e-08	1.65261405816e-06
20000446	36504521	chr15q	chr15	chr15q0	16504075	0.0	0.0	0.0	3506.0	2010.0	1.8796708197408138e-08	1.34801871035e-06
36504521	53008596	chr15q	chr15	chr15q1	16504075	0.0	0.0	0.0	234.0	48.0	6.491881484848576e-09	1.53594000404e-06
53008596	69512671	chr15q	chr15	chr15q2	16504075	0.0	0.0	0.0	328.0	24.0	9.344715258896962e-09	1.5057177186e-06
69512671	86016746	chr15q	chr15	chr15q3	16504075	0.0	0.0	0.0	2468.0	1878.0	7.3894407294751285e-09	1.16130070719e-06
86016746	102520821	chr15q	chr15	chr15q4	16504075	0.0	0.0	0.0	532.0	304.0	1.8242126895371337e-08	3.48511833934e-06
60179	7105170	chr16p	chr16	chr16p0	7044991	0.0	0.0	0.0	350.0	74.0	1.878904502033575e-08	1.33357517688e-06
7105170	14150161	chr16p	chr16	chr16p1	7044991	0.0	0.0	0.0	128.0	76.0	1.7089321646794436e-08	1.84145553703e-06
14150161	21195152	chr16p	chr16	chr16p2	7044991	1.0	0.0	1.0	914.0	860.0	1.0768763188178417e-08	1.31730845517e-06
21195152	28240143	chr16p	chr16	chr16p3	7044991	0.0	0.0	0.0	534.0	394.0	1.3219176756036847e-08	1.5251413636e-06
28240143	35285134	chr16p	chr16	chr16p4	7044991	2.0	1.0	1.0	3216.0	1266.0	4.5473558959432865e-09	5.18025081061e-07
46387351	55168439	chr16q	chr16	chr16q0	8781088	1.0	1.0	0.0	426.0	44.0	9.29903449640215e-09	2.23355588705e-06
55168439	63949527	chr16q	chr16	chr16q1	8781088	0.0	0.0	0.0	76.0	28.0	9.833005676360923e-09	1.30091604992e-06
63949527	72730615	chr16q	chr16	chr16q2	8781088	0.0	0.0	0.0	220.0	190.0	4.36252357515721e-09	9.43963908925e-07
72730615	81511703	chr16q	chr16	chr16q3	8781088	1.0	0.0	1.0	156.0	82.0	1.649621983292199e-08	1.47562506993e-06
81511703	90292791	chr16q	chr16	chr16q4	8781088	1.0	1.0	0.0	374.0	40.0	2.4841292676156502e-08	1.65956775853e-06
