track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3320614	904246.6200	577412.0000	1315698.0000	245481.1809	3.6722	1.8767	1.0000e-02	1.0000e-02	19	8209286	1.3333e+00	2784	74385354	1.2081e+01	38	3320614	5.3932e-01	200.0000	40.4495	1.3649	4.4641
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3320614	904428.3000	507747.0000	1388902.0000	275280.5725	3.6715	1.8764	1.0000e-02	1.0000e-02	12	8072200	1.3110e+00	2784	74385354	1.2081e+01	38	3320614	5.3932e-01	316.6667	41.1364	1.3649	4.4641
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1459386	360440.1300	193842.0000	688004.0000	150172.3269	4.0489	2.0175	1.0000e-02	1.0000e-02	11	2421091	3.9322e-01	2784	74385354	1.2081e+01	26	1459386	2.3703e-01	236.3636	60.2780	0.9339	1.9619
HFNHinvs	genomicSuperDups_coords_normal.bed	0	14384.6300	0.0000	35312.0000	11869.2668	0.0001	-13.8123	1.1000e-01	1.1000e-01	7	137086	2.2265e-02	2784	74385354	1.2081e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1459386	410597.4800	207539.0000	713435.0000	174164.0722	3.5543	1.8296	1.0000e-02	1.0000e-02	18	2558177	4.1549e-01	2784	74385354	1.2081e+01	26	1459386	2.3703e-01	144.4444	57.0479	0.9339	1.9619
invs	genomicSuperDups_coords_normal.bed	4213127	1182120.1200	631165.0000	1743928.0000	326517.0729	3.5640	1.8335	1.0000e-02	1.0000e-02	36	10050495	1.6323e+00	2784	74385354	1.2081e+01	70	4213127	6.8427e-01	194.4444	41.9196	2.5144	5.6639
LFinvs	genomicSuperDups_coords_normal.bed	892513	260926.1500	88498.0000	489914.0000	142499.8469	3.4205	1.7742	1.0000e-02	1.0000e-02	18	1852592	3.0089e-01	2784	74385354	1.2081e+01	32	892513	1.4496e-01	177.7778	48.1764	1.1494	1.1999
LFNAHRinvs	genomicSuperDups_coords_normal.bed	694973	131650.4700	13973.0000	336870.0000	104189.0054	5.2789	2.4002	1.0000e-02	1.0000e-02	8	994122	1.6146e-01	2784	74385354	1.2081e+01	19	694973	1.1287e-01	237.5000	69.9082	0.6825	0.9343
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	115973.4200	1936.0000	372636.0000	124216.4657	1.7033	0.7683	2.5000e-01	2.5000e-01	10	858470	1.3943e-01	2784	74385354	1.2081e+01	13	197540	3.2083e-02	130.0000	23.0107	0.4670	0.2656
NAHRinvs	genomicSuperDups_coords_normal.bed	4015587	1033645.2400	592785.0000	1482829.0000	277829.6139	3.8849	1.9579	1.0000e-02	1.0000e-02	20	9066322	1.4725e+00	2784	74385354	1.2081e+01	57	4015587	6.5219e-01	285.0000	44.2912	2.0474	5.3984
NAHRno501invs	genomicSuperDups_coords_normal.bed	2154359	483944.1700	235003.0000	813521.0000	178311.0208	4.4517	2.1543	1.0000e-02	1.0000e-02	19	3415213	5.5468e-01	2784	74385354	1.2081e+01	45	2154359	3.4990e-01	236.8421	63.0812	1.6164	2.8962
NHinvs	genomicSuperDups_coords_normal.bed	197540	134531.4000	9492.0000	411809.0000	133504.2006	1.4684	0.5542	2.4000e-01	2.4000e-01	16	984173	1.5984e-01	2784	74385354	1.2081e+01	13	197540	3.2083e-02	81.2500	20.0717	0.4670	0.2656
no501invs	genomicSuperDups_coords_normal.bed	2351899	629897.8800	233531.0000	1050240.0000	260046.9501	3.7338	1.9006	1.0000e-02	1.0000e-02	35	4399386	7.1453e-01	2784	74385354	1.2081e+01	58	2351899	3.8198e-01	165.7143	53.4597	2.0833	3.1618
