Start	End	chromID	Chromosome	winID	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946	7946740	chr10p	chr10	chr10p0	7787794	1.0	0.0	1.0	48.0	34.0	2.4970710834156027e-06	0.000468466
7946740	15734534	chr10p	chr10	chr10p1	7787794	1.0	1.0	0.0	224.0	18.0	2.0704234249935874e-06	0.000408049
15734534	23522328	chr10p	chr10	chr10p2	7787794	1.0	1.0	0.0	82.0	30.0	1.0176346384532241e-06	0.000181529
23522328	31310122	chr10p	chr10	chr10p3	7787794	0.0	0.0	0.0	292.0	140.0	1.3958660524939034e-06	0.000295862
31310122	39097916	chr10p	chr10	chr10p4	7787794	1.0	0.0	1.0	588.0	100.0	4.744366832363611e-07	0.000104091
42436301	61043730	chr10q	chr10	chr10q0	18607429	2.0	2.0	0.0	1694.0	938.0	6.025232231158377e-07	0.000174675
61043730	79651159	chr10q	chr10	chr10q1	18607429	1.0	1.0	0.0	184.0	56.0	1.0089772061309546e-06	0.000264553
79651159	98258588	chr10q	chr10	chr10q2	18607429	1.0	1.0	0.0	490.0	244.0	1.0355356986742594e-06	0.000165572
98258588	116866017	chr10q	chr10	chr10q3	18607429	0.0	0.0	0.0	128.0	12.0	9.462011129275818e-07	0.000159312
116866017	135473446	chr10q	chr10	chr10q4	18607429	1.0	1.0	0.0	168.0	34.0	2.1012684948114258e-06	0.000640854
241489	10472178	chr11p	chr11	chr11p0	10230689	1.0	0.0	1.0	556.0	98.0	1.7873600311146472e-06	0.00019753
10472178	20702867	chr11p	chr11	chr11p1	10230689	0.0	0.0	0.0	158.0	22.0	1.6798843936104874e-06	0.000371061
20702867	30933556	chr11p	chr11	chr11p2	10230689	1.0	1.0	0.0	34.0	0.0	1.0097325804420526e-06	0.000246704
30933556	41164245	chr11p	chr11	chr11p3	10230689	0.0	0.0	0.0	56.0	6.0	1.1417169532987237e-06	0.000334609
41164245	51394934	chr11p	chr11	chr11p4	10230689	0.0	0.0	0.0	526.0	308.0	4.304033139038766e-07	0.00012165
54794237	70824344	chr11q	chr11	chr11q0	16030107	2.0	2.0	0.0	750.0	236.0	7.317537942258248e-07	0.000196833
70824344	86854451	chr11q	chr11	chr11q1	16030107	1.0	0.0	1.0	788.0	84.0	9.027892010456977e-07	0.000167323
86854451	102884558	chr11q	chr11	chr11q2	16030107	0.0	0.0	0.0	442.0	234.0	8.368406399431179e-07	0.000225632
102884558	118914665	chr11q	chr11	chr11q3	16030107	0.0	0.0	0.0	208.0	40.0	1.0771286425692938e-06	0.000147201
118914665	134944772	chr11q	chr11	chr11q4	16030107	0.0	0.0	0.0	160.0	28.0	2.0762046921531976e-06	0.000331321
191619	7115336	chr12p	chr12	chr12p0	6923717	0.0	0.0	0.0	82.0	20.0	2.5262157406756036e-06	0.000358918
7115336	14039053	chr12p	chr12	chr12p1	6923717	0.0	0.0	0.0	622.0	134.0	1.773873108164114e-06	0.00015555
14039053	20962770	chr12p	chr12	chr12p2	6923717	0.0	0.0	0.0	100.0	16.0	1.2362977132405785e-06	0.000290019
20962770	27886487	chr12p	chr12	chr12p3	6923717	0.0	0.0	0.0	60.0	20.0	1.241294016594682e-06	0.0001919
27886487	34810204	chr12p	chr12	chr12p4	6923717	0.0	0.0	0.0	190.0	48.0	5.598703054740488e-07	0.000129962
37961768	57118246	chr12q	chr12	chr12q0	19156478	4.0	4.0	0.0	492.0	58.0	7.787057006579991e-07	0.000432374
57118246	76274724	chr12q	chr12	chr12q1	19156478	3.0	2.0	1.0	194.0	18.0	8.980182729663474e-07	0.000391175
76274724	95431202	chr12q	chr12	chr12q2	19156478	0.0	0.0	0.0	186.0	16.0	8.550855313329581e-07	0.00024114
95431202	114587680	chr12q	chr12	chr12q3	19156478	0.0	0.0	0.0	174.0	18.0	1.054211950625674e-06	0.00027115
114587680	133744158	chr12q	chr12	chr12q4	19156478	0.0	0.0	0.0	120.0	80.0	2.159753762546845e-06	0.000321199
19260565	38423428	chr13q	chr13	chr13q0	19162863	0.0	0.0	0.0	720.0	192.0	1.930648096343571e-06	0.000432204
38423428	57586291	chr13q	chr13	chr13q1	19162863	0.0	0.0	0.0	672.0	152.0	9.561603790503434e-07	0.00033226
57586291	76749154	chr13q	chr13	chr13q2	19162863	1.0	0.0	1.0	418.0	62.0	8.288593501599092e-07	0.000353981
76749154	95912017	chr13q	chr13	chr13q3	19162863	1.0	0.0	1.0	198.0	4.0	7.976361722778786e-07	0.000123929
95912017	115074880	chr13q	chr13	chr13q4	19162863	1.0	1.0	0.0	1826.0	1786.0	2.0148984442836737e-06	0.0002955
19035752	36685689	chr14q	chr14	chr14q0	17649937	2.0	1.0	1.0	780.0	96.0	1.86289700765696e-06	0.000504921
36685689	54335626	chr14q	chr14	chr14q1	17649937	1.0	1.0	0.0	320.0	4.0	7.62548386403133e-07	0.000221295
54335626	71985563	chr14q	chr14	chr14q2	17649937	2.0	1.0	1.0	202.0	12.0	9.336316839397055e-07	0.000257734
71985563	89635500	chr14q	chr14	chr14q3	17649937	0.0	0.0	0.0	186.0	18.0	1.0617173764589727e-06	0.000481211
89635500	107285437	chr14q	chr14	chr14q4	17649937	1.0	0.0	1.0	462.0	170.0	1.947301789707915e-06	0.000381256
20161372	36608824	chr15q	chr15	chr15q0	16447452	0.0	0.0	0.0	3264.0	2006.0	1.583035276047955e-06	0.000315314
36608824	53056276	chr15q	chr15	chr15q1	16447452	0.0	0.0	0.0	234.0	48.0	9.307001153414718e-07	0.000480182
53056276	69503728	chr15q	chr15	chr15q2	16447452	0.0	0.0	0.0	328.0	24.0	1.2574865479136485e-06	0.000302182
69503728	85951180	chr15q	chr15	chr15q3	16447452	0.0	0.0	0.0	2468.0	1878.0	8.949939611633356e-07	0.000330873
85951180	102398632	chr15q	chr15	chr15q4	16447452	0.0	0.0	0.0	496.0	304.0	2.5345548475663636e-06	0.000535593
143503	7143361	chr16p	chr16	chr16p0	6999858	0.0	0.0	0.0	324.0	74.0	2.198422467337827e-06	0.000261546
7143361	14143219	chr16p	chr16	chr16p1	6999858	0.0	0.0	0.0	128.0	76.0	2.1987071431882717e-06	0.000227613
14143219	21143077	chr16p	chr16	chr16p2	6999858	1.0	0.0	1.0	914.0	860.0	1.4329928468406437e-06	0.0004556
21143077	28142935	chr16p	chr16	chr16p3	6999858	0.0	0.0	0.0	534.0	394.0	1.7918995119759852e-06	0.000424386
28142935	35142793	chr16p	chr16	chr16p4	6999858	2.0	1.0	1.0	3216.0	1266.0	1.2293390136408554e-07	3.51722e-05
46539392	55259785	chr16q	chr16	chr16q0	8720393	1.0	1.0	0.0	224.0	2.0	1.3896843249988845e-06	0.000221624
55259785	63980178	chr16q	chr16	chr16q1	8720393	0.0	0.0	0.0	76.0	28.0	1.3246510340452909e-06	0.000209833
63980178	72700571	chr16q	chr16	chr16q2	8720393	0.0	0.0	0.0	220.0	190.0	5.485670963648767e-07	0.000162716
72700571	81420964	chr16q	chr16	chr16q3	8720393	1.0	0.0	1.0	156.0	82.0	1.9062597719954765e-06	0.000285591
81420964	90141357	chr16q	chr16	chr16q4	8720393	1.0	1.0	0.0	66.0	32.0	2.796087302656279e-06	0.000240003
6888	4453982	chr17p	chr17	chr17p0	4447094	0.0	0.0	0.0	156.0	44.0	2.6511605446082062e-06	0.000159905
4453982	8901076	chr17p	chr17	chr17p1	4447094	1.0	1.0	0.0	94.0	80.0	2.2313262351141077e-06	0.000217967
8901076	13348170	chr17p	chr17	chr17p2	4447094	1.0	1.0	0.0	12.0	0.0	3.20327708003869e-06	0.000368015
13348170	17795264	chr17p	chr17	chr17p3	4447094	0.0	0.0	0.0	162.0	132.0	1.9585061191268595e-06	0.000250111
17795264	22242358	chr17p	chr17	chr17p4	4447094	1.0	0.0	1.0	730.0	394.0	3.6511187196155707e-07	0.0001561
25326941	36471749	chr17q	chr17	chr17q0	11144808	1.0	0.0	1.0	944.0	698.0	1.1941748959568792e-06	0.000179929
36471749	47616557	chr17q	chr17	chr17q1	11144808	1.0	0.0	1.0	716.0	432.0	7.438714261442071e-07	0.000172989
47616557	58761365	chr17q	chr17	chr17q2	11144808	1.0	0.0	1.0	276.0	128.0	1.223301022989134e-06	0.00018536
58761365	69906173	chr17q	chr17	chr17q3	11144808	0.0	0.0	0.0	424.0	360.0	1.2436768257693678e-06	0.000270806
69906173	81050981	chr17q	chr17	chr17q4	11144808	0.0	0.0	0.0	66.0	18.0	2.5687320238253975e-06	0.000180266
112535	3110513	chr18p	chr18	chr18p0	2997978	0.0	0.0	0.0	18.0	2.0	2.92210701097366e-06	0.000144144
3110513	6108491	chr18p	chr18	chr18p1	2997978	0.0	0.0	0.0	2.0	0.0	3.6620370766354865e-06	0.000178994
6108491	9106469	chr18p	chr18	chr18p2	2997978	0.0	0.0	0.0	14.0	2.0	3.1909604219577583e-06	0.00037012
9106469	12104447	chr18p	chr18	chr18p3	2997978	1.0	1.0	0.0	134.0	26.0	3.0507132473600544e-06	0.000304678
12104447	15102425	chr18p	chr18	chr18p4	2997978	0.0	0.0	0.0	408.0	46.0	4.64951331131863e-07	7.7225e-05
