Start	End	Chromosome
158946.0	44343271.22448979	chr10
44343271.22448979	105096718.40816326	chr10
105096718.40816326	135473442.0	chr10
241489.0	52473373.469387755	chr11
52473373.469387755	88210978.63265306	chr11
88210978.63265306	101956211.3877551	chr11
101956211.3877551	134944770.0	chr11
191619.0	38349486.14285714	chr12
38349486.14285714	60153981.65306122	chr12
60153981.65306122	84684039.10204081	chr12
84684039.10204081	106488534.61224489	chr12
106488534.61224489	133744154.0	chr12
19260565.0	58368447.85714286	chr13
58368447.85714286	85743965.85714287	chr13
85743965.85714287	115074878.0	chr13
19035752.0	29841835.87755102	chr14
29841835.87755102	44249947.71428572	chr14
44249947.71428572	65862115.469387755	chr14
65862115.469387755	82071241.28571428	chr14
82071241.28571428	107285437.0	chr14
20161372.0	47014354.530612245	chr15
47014354.530612245	65475780.02040816	chr15
65475780.02040816	75545648.46938775	chr15
75545648.46938775	82258894.10204083	chr15
82258894.10204083	102398631.0	chr15
143503.0	20347102.42857143	chr16
20347102.42857143	38714011.0	chr16
38714011.0	68101064.71428572	chr16
68101064.71428572	90141355.0	chr16
6888.0	24816304.224489797	chr17
24816304.224489797	43009876.12244898	chr17
43009876.12244898	59549486.93877551	chr17
59549486.93877551	81050981.0	chr17
112535.0	17600749.63265306	chr18
17600749.63265306	36678801.95918367	chr18
36678801.95918367	49397503.510204084	chr18
49397503.510204084	63706042.75510204	chr18
63706042.75510204	78014582.0	chr18
261033.0	12260430.959183674	chr19
12260430.959183674	25459768.714285713	chr19
25459768.714285713	39859046.26530612	chr19
39859046.26530612	59058083.0	chr19
752721.0	46380515.08163266	chr1
46380515.08163266	81868799.36734694	chr1
81868799.36734694	97078064.06122449	chr1
97078064.06122449	132566348.34693879	chr1
132566348.34693879	188333652.2244898	chr1
188333652.2244898	218752181.6122449	chr1
218752181.6122449	249170711.0	chr1
69094.0	28281813.18367347	chr20
28281813.18367347	62906514.0	chr20
14665973.0	25581509.326530613	chr21
25581509.326530613	30357056.469387755	chr21
30357056.469387755	48094803.0	chr21
17087705.0	21965147.85714286	chr22
21965147.85714286	31023256.02040816	chr22
31023256.02040816	41474919.28571428	chr22
41474919.28571428	51229805.0	chr22
118913.0	59610761.0	chr2
59610761.0	94314339.0	chr2
94314339.0	153806187.0	chr2
153806187.0	193467419.0	chr2
193467419.0	243043959.0	chr2
108226.0	44488066.77551021	chr3
44488066.77551021	88867907.55102041	chr3
88867907.55102041	129213217.34693877	chr3
129213217.34693877	161489465.18367347	chr3
161489465.18367347	197800244.0	chr3
167596.0	50779814.69387755	chr4
50779814.69387755	66352805.06122449	chr4
66352805.06122449	101392033.3877551	chr4
101392033.3877551	124751518.93877551	chr4
124751518.93877551	190936728.0	chr4
157856.0	25948567.0	chr5
25948567.0	48054890.71428572	chr5
48054890.71428572	95951925.42857143	chr5
95951925.42857143	129111411.0	chr5
129111411.0	154902122.0	chr5
154902122.0	180692833.0	chr5
183917.0	31554935.428571425	chr6
31554935.428571425	62925953.85714285	chr6
62925953.85714285	118696653.28571428	chr6
118696653.28571428	170981684.0	chr6
46239.0	61727702.12244898	chr7
61727702.12244898	90945237.28571428	chr7
90945237.28571428	120162772.44897959	chr7
120162772.44897959	159119486.0	chr7
113565.0	47841534.30612245	chr8
47841534.30612245	86620509.36734694	chr8
86620509.36734694	110484494.02040817	chr8
110484494.02040817	146280471.0	chr8
212908.0	54814654.71428571	chr9
54814654.71428571	100795073.0	chr9
100795073.0	123785282.14285713	chr9
123785282.14285713	141027939.0	chr9
