track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	284807	41961.0100	3083.0000	157042.0000	45885.9493	6.7873	2.7628	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
HFNAHRinvs	genomicSuperDups_coords_normal.bed	284807	38145.8500	0.0000	141248.0000	55799.3894	7.4661	2.9004	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	284807	46034.2100	0.0000	155657.0000	52976.6151	6.1867	2.6292	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNHinvs	genomicSuperDups_coords_normal.bed	0	1244.8200	0.0000	3403.0000	1871.8011	0.0008	-10.2829	2.4000e-01	2.4000e-01	22	49999	2.1356e-03	4780	57896180	2.4729e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	284807	42055.8900	527.0000	154557.0000	51919.3237	6.7720	2.7596	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
invs	genomicSuperDups_coords_normal.bed	766948	126587.6900	42189.0000	269503.0000	71663.4486	6.0586	2.5990	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
LFinvs	genomicSuperDups_coords_normal.bed	483258	73892.9500	17515.0000	139821.0000	41946.8704	6.5399	2.7093	1.0000e-02	1.0000e-02	56	1891779	8.0804e-02	4780	57896180	2.4729e+00	32	483258	2.0641e-02	57.1429	25.5452	0.6695	0.8347
LFNAHRinvs	genomicSuperDups_coords_normal.bed	480974	68704.5200	16537.0000	136348.0000	36619.8374	7.0005	2.8075	1.0000e-02	1.0000e-02	16	1587204	6.7794e-02	4780	57896180	2.4729e+00	30	480974	2.0544e-02	187.5000	30.3032	0.6276	0.8308
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	6863.5700	0.0000	18863.0000	5895.4144	0.3329	-1.5870	2.9000e-01	2.9000e-01	40	304575	1.3009e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	5.0000	0.7499	0.0418	0.0039
NAHRinvs	genomicSuperDups_coords_normal.bed	764664	122828.3800	17846.0000	316328.0000	88063.9048	6.2254	2.6382	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NAHRno501invs	genomicSuperDups_coords_normal.bed	764664	127834.5400	35387.0000	242613.0000	70341.6372	5.9816	2.5805	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NHinvs	genomicSuperDups_coords_normal.bed	2284	9766.7900	684.0000	24324.0000	7747.5491	0.2339	-2.0958	1.2000e-01	1.2000e-01	62	354574	1.5145e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	3.2258	0.6442	0.0418	0.0039
no501invs	genomicSuperDups_coords_normal.bed	766948	118928.1200	38622.0000	262470.0000	66710.6975	6.4488	2.6890	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
