pos	val	Chromosome	valScaled
60683.0	6.64149857481105e-09	chr10	1.7510111400560106e-08
2825248.0816326533	9.492336998865796e-09	chr10	2.5026261231491294e-08
5589813.1632653065	1.150428904494011e-08	chr10	3.033071233729438e-08
8354378.24489796	1.2321889949393369e-08	chr10	3.248629255114431e-08
11118943.326530613	1.2156225105459604e-08	chr10	3.2049522168713093e-08
13883508.408163266	1.1355471470348857e-08	chr10	2.9938359274186456e-08
16648073.48979592	1.017230743758445e-08	chr10	2.6818982858536152e-08
19412638.571428575	8.888662079990153e-09	chr10	2.343469044966103e-08
22177203.653061226	7.853601128346355e-09	chr10	2.0705783356555426e-08
24941768.734693877	7.2433524383854e-09	chr10	1.9096881024815303e-08
27706333.816326533	6.870601959966877e-09	chr10	1.8114135590452833e-08
30470898.897959188	6.356619086489117e-09	chr10	1.6759035190866943e-08
33235463.97959184	5.520723995006992e-09	chr10	1.4555222902696756e-08
36000029.06122449	4.575094355149226e-09	chr10	1.2062098775503505e-08
38764594.14285715	3.951144220032691e-09	chr10	1.0417072995369858e-08
41529159.2244898	3.95070622109926e-09	chr10	1.0415918224344717e-08
44293724.30612245	4.514882256735266e-09	chr10	1.1903351387543714e-08
47058289.3877551	5.266020054794228e-09	chr10	1.3883703618750515e-08
49822854.469387755	5.76336828563875e-09	chr10	1.5194947282942195e-08
52587419.55102041	5.776726838574385e-09	chr10	1.5230166706302517e-08
55351984.632653065	5.397173564475445e-09	chr10	1.4229485905567896e-08
58116549.71428572	4.921773049032252e-09	chr10	1.2976106733453744e-08
60881114.795918375	4.633566961495842e-09	chr10	1.2216260044903382e-08
63645679.87755103	4.676444060892914e-09	chr10	1.2329304228910752e-08
66410244.95918368	5.044029868896431e-09	chr10	1.3298433164933988e-08
69174810.04081634	5.581738367089383e-09	chr10	1.4716085461073241e-08
71939375.12244898	6.064943691810128e-09	chr10	1.5990041778295637e-08
74703940.20408164	6.388285411658875e-09	chr10	1.684252250553291e-08
77468505.2857143	6.601536001675337e-09	chr10	1.7404751277452758e-08
80233070.36734694	6.712789416958176e-09	chr10	1.769806756343129e-08
82997635.4489796	6.637901698862915e-09	chr10	1.7500628345217035e-08
85762200.53061225	6.392254273877028e-09	chr10	1.685298629149786e-08
88526765.6122449	6.132619590394023e-09	chr10	1.6168467251099525e-08
91291330.69387756	5.964261717315684e-09	chr10	1.57245967782602e-08
94055895.7755102	5.8356000841830535e-09	chr10	1.5385384249076687e-08
96820460.85714287	5.630179165617229e-09	chr10	1.484379817063726e-08
99585025.93877551	5.30578209204647e-09	chr10	1.3988535035027644e-08
102349591.02040817	4.967731755191676e-09	chr10	1.3097275481080857e-08
105114156.10204083	4.820854913596458e-09	chr10	1.2710039102193604e-08
107878721.18367347	5.024191865580312e-09	chr10	1.3246130865367536e-08
110643286.26530613	5.595041012385359e-09	chr10	1.4751157485621753e-08
113407851.34693879	6.442351102055567e-09	chr10	1.6985065073468525e-08
116172416.42857143	7.4428109780977556e-09	chr10	1.962274747059042e-08
118936981.51020409	8.486125732634703e-09	chr10	2.2373415466978526e-08
121701546.59183675	9.49864895958505e-09	chr10	2.504290252623903e-08
124466111.6734694	1.0400794698068228e-08	chr10	2.7421382654246952e-08
127230676.75510205	1.0951070509302027e-08	chr10	2.8872168293542454e-08
129995241.8367347	1.0678548228272185e-08	chr10	2.815367148951309e-08
132759806.91836736	9.199168492053632e-09	chr10	2.425333127365224e-08
135524372.0	6.711335287334043e-09	chr10	1.769423379437712e-08
87267.0	7.281149827468183e-09	chr11	1.919653270523574e-08
2839495.224489796	9.67889564751873e-09	chr11	2.5518117502158908e-08
5591723.448979592	1.1018869735191444e-08	chr11	2.9050918915081086e-08
8343951.673469388	1.1204737692787707e-08	chr11	2.95409541995346e-08
11096179.897959184	1.0722988301633252e-08	chr11	2.827083640740566e-08
13848408.12244898	1.0174433544715804e-08	chr11	2.6824588276093676e-08
16600636.346938776	9.835505910392084e-09	chr11	2.5931015753734826e-08
19352864.57142857	9.535223203911622e-09	chr11	2.5139329422267957e-08
22105092.795918368	8.940150391283728e-09	chr11	2.3570437835047298e-08
24857321.020408165	8.009975694482225e-09	chr11	2.111806020076618e-08
27609549.24489796	7.105048197058252e-09	chr11	1.873224604890895e-08
30361777.469387755	6.589447158026303e-09	chr11	1.7372879404468947e-08
33114005.69387755	6.431860628480812e-09	chr11	1.6957407255150942e-08
35866233.91836735	6.30285460043354e-09	chr11	1.6617286739124815e-08
38618462.14285714	5.966383964852527e-09	chr11	1.5730192020112788e-08
41370690.36734694	5.4074870380857915e-09	chr11	1.425667706879856e-08
44122918.591836736	4.662340179032361e-09	chr11	1.2292119768238688e-08
46875146.81632653	3.771602384217438e-09	chr11	9.943716340877827e-09
49627375.04081633	2.9105817840716015e-09	chr11	7.673661404193655e-09
52379603.26530612	2.369373115763802e-09	chr11	6.246781014734569e-09
55131831.48979592	2.334184712775902e-09	chr11	6.154007847747409e-09
57884059.71428572	2.7482689481516787e-09	chr11	7.245728490155569e-09
60636287.93877551	3.403606125501314e-09	chr11	8.973505263885765e-09
63388516.16326531	4.126096797245969e-09	chr11	1.0878330207475295e-08
66140744.3877551	4.8384073910280625e-09	chr11	1.2756315681450711e-08
68892972.6122449	5.484940315516652e-09	chr11	1.4460880307100306e-08
71645200.8367347	5.996219554601787e-09	chr11	1.5808852655860316e-08
74397429.06122449	6.336337988529867e-09	chr11	1.6705564685589865e-08
77149657.28571428	6.501146467889622e-09	chr11	1.7140077288557385e-08
79901885.51020408	6.480679118560254e-09	chr11	1.7086115737140264e-08
82654113.73469388	6.299875319094095e-09	chr11	1.6609431953407456e-08
85406341.95918368	6.0665741750695545e-09	chr11	1.5994340498409433e-08
88158570.18367347	5.9171630326713975e-09	chr11	1.5600422511616655e-08
90910798.40816326	5.9256272144925045e-09	chr11	1.5622738072620356e-08
93663026.63265306	6.06055681857859e-09	chr11	1.5978475918856066e-08
96415254.85714287	6.196079531771812e-09	chr11	1.6335777479428483e-08
99167483.08163266	6.1971009211357235e-09	chr11	1.6338470341791394e-08
101919711.30612245	6.060382451408881e-09	chr11	1.5978016205053254e-08
104671939.53061225	5.9731160466324614e-09	chr11	1.5747940951411428e-08
107424167.75510204	6.188146741477541e-09	chr11	1.631486291621578e-08
110176395.97959185	6.820771309538397e-09	chr11	1.7982758578120962e-08
112928624.20408164	7.760465395343255e-09	chr11	2.0460233795430434e-08
115680852.42857143	8.759543223318946e-09	chr11	2.3094272464358658e-08
118433080.65306123	9.600689835153351e-09	chr11	2.5311930228117665e-08
121185308.87755102	1.0201671663274012e-08	chr11	2.6896400757105835e-08
123937537.10204081	1.0574402850507617e-08	chr11	2.787909533083901e-08
126689765.32653062	1.0661037338900333e-08	chr11	2.8107504555925706e-08
129441993.55102041	1.0206275274525313e-08	chr11	2.6908538039821045e-08
132194221.7755102	8.897408101566466e-09	chr11	2.3457749072709417e-08
134946450.0	6.7505340336588906e-09	chr11	1.779758011105233e-08
60316.0	7.348521552254879e-09	chr12	1.9374156232964417e-08
2790550.6530612246	9.797031144889528e-09	chr12	2.582957819074034e-08
5520785.306122449	1.1166176202408939e-08	chr12	2.943928798901026e-08
8251019.959183674	1.1289637968182861e-08	chr12	2.9764791224170216e-08
10981254.612244898	1.0564357250417336e-08	chr12	2.78526104080938e-08
13711489.265306123	9.55155095750191e-09	chr12	2.518237705392313e-08
16441723.918367349	8.678389905229515e-09	chr12	2.288031418005511e-08
19171958.57142857	8.12596021819066e-09	chr12	2.1423849911928375e-08
21902193.224489797	7.799537044103065e-09	chr12	2.056324502319499e-08
24632427.877551023	7.416823982798321e-09	chr12	1.955423353845096e-08
27362662.530612245	6.715406482260964e-09	chr12	1.7704967377453407e-08
30092897.18367347	5.645879627167475e-09	chr12	1.4885191965680396e-08
32823131.836734697	4.4401764577777125e-09	chr12	1.170639179366895e-08
35553366.48979592	3.5032617212295704e-09	chr12	9.236244247149132e-09
38283601.14285714	3.15226789740071e-09	chr12	8.310859578776035e-09
41013835.79591837	3.4026506781855663e-09	chr12	8.970986255751132e-09
43744070.448979594	4.00685015826743e-09	chr12	1.0563940027437353e-08
46474305.10204082	4.659378177042186e-09	chr12	1.2284310539006394e-08
49204539.755102046	5.129106170335446e-09	chr12	1.3522734276944266e-08
51934774.408163264	5.286488299262458e-09	chr12	1.3937667530174345e-08
54665009.06122449	5.151323647761207e-09	chr12	1.3581309988492252e-08
57395243.71428572	4.933676630369915e-09	chr12	1.3007490167921171e-08
60125478.36734694	4.914039907007815e-09	chr12	1.2955718536904579e-08
62855713.02040817	5.200346896047975e-09	chr12	1.3710558309341745e-08
65585947.673469394	5.61935157564694e-09	chr12	1.4815251555073956e-08
68316182.32653062	5.879096316185671e-09	chr12	1.5500060757592253e-08
71046416.97959185	5.8238298000562525e-09	chr12	1.5354352248699815e-08
73776651.63265306	5.504908002600262e-09	chr12	1.4513524514022459e-08
76506886.28571428	5.0455576943404424e-09	chr12	1.3302461230802544e-08
79237120.93877551	4.543322750881245e-09	chr12	1.1978333895658947e-08
81967355.59183674	4.135645452660465e-09	chr12	1.0903504950517103e-08
84697590.24489796	4.054935076303884e-09	chr12	1.0690714468780822e-08
87427824.89795919	4.499764128299978e-09	chr12	1.1863492896257747e-08
90158059.55102041	5.413746037201267e-09	chr12	1.4273178731869547e-08
92888294.20408164	6.434731697346488e-09	chr12	1.6964976741933237e-08
95618528.85714287	7.145292544249693e-09	chr12	1.8838349060846283e-08
98348763.51020409	7.3938955959841206e-09	chr12	1.9493783535664773e-08
101078998.16326532	7.328676298230273e-09	chr12	1.932183481712294e-08
103809232.81632653	7.173453855266432e-09	chr12	1.8912595511031354e-08
106539467.46938775	7.101425340508165e-09	chr12	1.872269449648961e-08
109269702.12244898	7.275475902955723e-09	chr12	1.91815735737728e-08
111999936.7755102	7.785620094179988e-09	chr12	2.0526553402958358e-08
114730171.42857143	8.506903791320507e-09	chr12	2.2428196194276377e-08
117460406.08163266	9.239959275278298e-09	chr12	2.4360874947769542e-08
120190640.73469388	1.0046020488815434e-08	chr12	2.6486031113312716e-08
122920875.38775511	1.1144738792323226e-08	chr12	2.938276890156153e-08
125651110.04081634	1.2298333518987796e-08	chr12	3.2424186730303594e-08
128381344.69387756	1.2589616423502854e-08	chr12	3.3192145354352905e-08
131111579.34693879	1.1185470441435967e-08	chr12	2.9490156670369858e-08
133841814.0	8.272310143110672e-09	chr12	2.180969709083648e-08
19020094.0	8.850419500117967e-09	chr13	2.3333865037103318e-08
20981109.448979594	1.2438590527826708e-08	chr13	3.279397011906967e-08
22942124.897959184	1.5151026219723787e-08	chr13	3.9945225305979714e-08
