Start	End	Chromosome
752721	76799044.4693878	chr1
76799044.4693878	150310490.489796	chr1
150310490.489796	173124387.530612	chr1
173124387.530612	208612671.816327	chr1
208612671.816327	249170711	chr1
158946	27774149.2653061	chr10
27774149.2653061	60912393.1836735	chr10
60912393.1836735	91289116.7755102	chr10
91289116.7755102	113381279.387755	chr10
113381279.387755	135473442	chr10
241489	35979094.1632653	chr11
35979094.1632653	62095036.3979592	chr11
62095036.3979592	79963838.9795918	chr11
79963838.9795918	104705257.938776	chr11
104705257.938776	134944770	chr11
191619	26084457.4183673	chr12
26084457.4183673	45163390.9897959	chr12
45163390.9897959	68330667.4693878	chr12
68330667.4693878	105125753.642857	chr12
105125753.642857	133744154	chr12
19260565	41747597.6428571	chr13
41747597.6428571	66190024.4285714	chr13
66190024.4285714	79877783.4285714	chr13
79877783.4285714	95520936.5714286	chr13
95520936.5714286	115074878	chr13
19035752	33443863.8367347	chr14
33443863.8367347	50553496.6428571	chr14
50553496.6428571	61359580.5204082	chr14
61359580.5204082	70364650.4183674	chr14
70364650.4183674	78469213.3265306	chr14
78469213.3265306	88374790.2142857	chr14
88374790.2142857	107285437	chr14
20161372	40301108.8979592	chr15
40301108.8979592	52888444.4591837	chr15
52888444.4591837	67993247.1326531	chr15
67993247.1326531	84776361.2142857	chr15
84776361.2142857	102398631	chr15
143503	31367247.5714286	chr16
31367247.5714286	46979119.8571429	chr16
46979119.8571429	62590992.1428571	chr16
62590992.1428571	76366173.5714286	chr16
76366173.5714286	90141355	chr16
6888	17373479.3571429	chr17
17373479.3571429	28124226.3877551	chr17
28124226.3877551	38047992.877551	chr17
38047992.877551	48798739.9081633	chr17
48798739.9081633	57895525.8571429	chr17
57895525.8571429	66992311.8061225	chr17
66992311.8061225	81050981	chr17
112535	12831236.5510204	chr18
12831236.5510204	20780425.0204082	chr18
20780425.0204082	31114370.0306122	chr18
31114370.0306122	42243233.8877551	chr18
42243233.8877551	48602584.6632653	chr18
48602584.6632653	60526367.3673469	chr18
60526367.3673469	78014582	chr18
261033	9860551.36734694	chr19
9860551.36734694	14660310.5510204	chr19
14660310.5510204	21259979.4285714	chr19
21259979.4285714	29659558	chr19
29659558	36859196.7755102	chr19
36859196.7755102	45858745.244898	chr19
45858745.244898	59058083	chr19
118913	37301318	chr2
37301318	67047242	chr2
67047242	84399031	chr2
84399031	109187301	chr2
109187301	136454398	chr2
136454398	161242668	chr2
161242668	183552111	chr2
183552111	208340381	chr2
208340381	243043959	chr2
69094	18022642.5714286	chr20
18022642.5714286	41105776.4489796	chr20
41105776.4489796	62906514	chr20
14665973	24558177.7959184	chr21
24558177.7959184	36497045.6530612	chr21
36497045.6530612	48094803	chr21
17087705	21268370.3061225	chr22
21268370.3061225	25100646.8367347	chr22
25100646.8367347	28932923.3673469	chr22
28932923.3673469	34158755	chr22
34158755	39384586.6326531	chr22
39384586.6326531	43565251.9387755	chr22
43565251.9387755	51229805	chr22
108226	30367208.3469388	chr3
30367208.3469388	56591659.7142857	chr3
56591659.7142857	76764314.6122449	chr3
76764314.6122449	117109624.408163	chr3
117109624.408163	153420403.22449	chr3
153420403.22449	173593058.122449	chr3
173593058.122449	197800244	chr3
167596	64406181.2653061	chr4
64406181.2653061	150057628.285714	chr4
150057628.285714	190936728	chr4
157856	14895405.1428571	chr5
14895405.1428571	25948567	chr5
25948567	40686116.1428571	chr5
40686116.1428571	60950246.2142857	chr5
60950246.2142857	84898763.5714286	chr5
84898763.5714286	132795798.285714	chr5
132795798.285714	180692833	chr5
183917	22840763.6428571	chr6
22840763.6428571	36783438.5	chr6
36783438.5	52468947.7142857	chr6
52468947.7142857	85582800.5	chr6
85582800.5	113468150.214286	chr6
113468150.214286	137867831.214286	chr6
137867831.214286	170981684	chr6
46239	37379756.1530612	chr7
37379756.1530612	69843684.1122449	chr7
69843684.1122449	82829255.2959184	chr7
82829255.2959184	95814826.4795918	chr7
95814826.4795918	110423594.061224	chr7
110423594.061224	133148343.632653	chr7
133148343.632653	159119486	chr7
113565	34418042.9387755	chr8
34418042.9387755	59773526.6326531	chr8
59773526.6326531	79163014.1632653	chr8
79163014.1632653	94078004.5714286	chr8
94078004.5714286	107501495.938776	chr8
107501495.938776	122416486.346939	chr8
122416486.346939	146280471	chr8
212908	34698221.7142857	chr9
34698221.7142857	69183535.4285714	chr9
69183535.4285714	92173744.5714286	chr9
92173744.5714286	116600841.785714	chr9
116600841.785714	141027939	chr9
2737282	36785819.7346939	chrX
36785819.7346939	101787573.591837	chrX
101787573.591837	154408041	chrX
