pos	val	Chromosome	valScaled
158946.0	3.347958735610645e-09	chr10	1.1387302934296919e-06
2920466.326530612	5.69568220201094e-09	chr10	1.9372538246040292e-06
5681986.653061224	8.10911606539241e-09	chr10	2.7581272189471867e-06
8443506.979591835	9.956514051987416e-09	chr10	3.386476675283319e-06
11205027.306122448	1.0840407977679442e-08	chr10	3.6871126355352067e-06
13966547.632653061	1.0686543968649797e-08	chr10	3.6347793716012834e-06
16728067.959183672	9.78570541015163e-09	chr10	3.3283800886172007e-06
19489588.285714284	8.787128120341887e-09	chr10	2.988737249491863e-06
22251108.612244897	8.340694668519584e-09	chr10	2.8368932944923044e-06
25012628.93877551	8.574816762654164e-09	chr10	2.916524479344294e-06
27774149.265306123	8.984847216936884e-09	chr10	3.055986801431519e-06
30535669.591836732	8.861699599688567e-09	chr10	3.0141010037265586e-06
33297189.918367345	7.851706110769966e-09	chr10	2.670575210004796e-06
36058710.244897954	6.200851922469493e-09	chr10	2.109075555227791e-06
38820230.57142857	4.549842659152562e-09	chr10	1.547523155290843e-06
41581750.89795918	3.487055034798351e-09	chr10	1.186040664344437e-06
44343271.22448979	3.228571633364052e-09	chr10	1.0981235474363942e-06
47104791.551020406	3.640051183386067e-09	chr10	1.2380787457346862e-06
49866311.87755102	4.418143186255392e-09	chr10	1.5027286427953427e-06
52627832.20408163	5.188692670910567e-09	chr10	1.7648131277175994e-06
55389352.530612245	5.6230413145616445e-09	chr10	1.9125467162994096e-06
58150872.85714285	5.643358095636713e-09	chr10	1.9194569968321653e-06
60912393.183673464	5.480451944888846e-09	chr10	1.8640482587048165e-06
63673913.51020408	5.486206900078379e-09	chr10	1.8660056728574898e-06
66435433.83673469	5.864006493142951e-09	chr10	1.994505417162006e-06
69196954.1632653	6.4782185289451055e-09	chr10	2.2034153551243883e-06
71958474.48979591	6.958650943010854e-09	chr10	2.3668232663459823e-06
74719994.81632653	7.111729937511532e-09	chr10	2.4188895258466046e-06
77481515.14285713	7.085781968961169e-09	chr10	2.4100639278704485e-06
80243035.46938775	7.027229845231329e-09	chr10	2.3901487848531165e-06
83004555.79591836	6.8738194434919915e-09	chr10	2.3379698048884965e-06
85766076.12244898	6.614911462965843e-09	chr10	2.2499082772776863e-06
88527596.44897959	6.430915883904469e-09	chr10	2.187326460630502e-06
91289116.77551019	6.451911452463443e-09	chr10	2.194467614937926e-06
94050637.10204081	6.585764006589517e-09	chr10	2.2399944479347182e-06
96812157.42857142	6.621798191632193e-09	chr10	2.252250637854473e-06
99573677.75510204	6.408507063343031e-09	chr10	2.1797046215254016e-06
102335198.08163264	5.995044736849826e-09	chr10	2.0390750279280197e-06
105096718.40816326	5.67735868571186e-09	chr10	1.931021506723292e-06
107858238.73469387	5.8410695235934756e-09	chr10	1.986703940462892e-06
110619759.06122449	6.684095266689886e-09	chr10	2.273439538961798e-06
113381279.3877551	8.066224098113717e-09	chr10	2.743538513905655e-06
116142799.7142857	9.598567194372367e-09	chr10	3.2647293771853105e-06
